system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116034_19840511,23.0,121.173653,3044.925836975842,0.0,1984-05-11T01:38:31,0.0,0.47901940370610124,7463.913351713272,132.0,Han_Land_Downstream,7981.634377150722,116.0,481,66.0,6931.0,34.0,5,20000.0,4016.813441876574,4842.0,31.224121,
1_1_LT05_116034_19840612,61.0,112.285194,,1.0,1984-06-12T01:39:18,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,28.295753,
1_1_LT05_116034_19840730,9.0,117.662613,718.0000000000001,0.0,1984-07-30T01:40:17,4.0,0.6792993547625045,1019.9999999999998,136.0,Han_Land_Downstream,1288.0,116.0,471,66.0,1042.0,34.0,5,1306.9413253566497,188.7053710858412,761.0000000000001,32.330566,
1_1_LT05_116034_19841205,42.0,153.639542,,1.0,1984-12-05T01:41:01,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,64.545319,
1_1_LT05_116034_19841221,100.0,152.381119,,1.0,1984-12-21T01:41:12,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,66.193115,
1_1_LT05_116034_19850122,100.0,147.527512,,1.0,1985-01-22T01:41:25,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,64.162979,
1_1_LT05_116034_19850207,24.0,144.627106,1009.0000000000001,0.4844361160663144,1985-02-07T01:41:28,0.0,1.6907964395867863,1194.0000000000005,,Han_Land_Downstream,1295.9999999999995,116.0,249,66.0,1185.9999999999998,34.0,5,1247.0,109.46833086630076,829.9999999999999,60.596142,
1_1_LT05_116034_19850311,42.0,138.610687,,1.0,1985-03-11T01:41:28,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,50.074837,
1_1_LT05_116034_19850412,22.0,131.306198,850.9999999999999,0.004173281180956746,1985-04-12T01:41:22,4.0,1.5748063411725932,1108.0,159.0,Han_Land_Downstream,1246.1629907366564,116.0,146,66.0,1138.9999999999998,34.0,5,1369.0,121.04283843788075,950.9999999999998,38.526814,
1_1_LT05_116034_19850514,1.0,121.06282,860.0,0.0,1985-05-14T01:41:09,0.0,0.363248726284267,1139.0,129.0,Han_Land_Downstream,1359.0,116.0,481,66.0,1172.9999999999998,34.0,5,1762.0,62.55828065753986,1346.9983378843638,30.309792,
1_1_LT05_116034_19850530,80.0,115.879128,,1.0,1985-05-30T01:41:10,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,28.409218,
1_1_LT05_116034_19860109,3.0,149.090591,1497.0,0.8064170335335414,1986-01-09T01:38:33,4.0,1.9989128792794855,1706.0,,Han_Land_Downstream,1845.0000000000002,116.0,91,66.0,1746.0,34.0,5,1741.0,297.89426580551446,1491.0,66.202148,
1_1_LT05_116034_19860210,84.0,143.194977,,1.0,1986-02-10T01:37:51,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,60.290119,
1_1_LT05_116034_19860226,40.0,140.080902,,1.0,1986-02-26T01:37:29,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,55.338978,
1_1_LT05_116034_19860415,0.0,128.900513,891.0000000000002,0.17704531692388267,1986-04-15T01:36:29,4.0,0.8537687281605912,1115.9999999999998,159.0,Han_Land_Downstream,1270.0,116.0,209,66.0,1144.9999999999998,34.0,5,1165.0857431069267,120.4511016646121,749.9999999999999,38.453896,
1_1_LT05_116034_19860517,15.0,118.23362,,1.0,1986-05-17T01:35:40,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,30.931057,
1_1_LT05_116034_19860602,79.0,113.242004,,1.0,1986-06-02T01:35:12,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,29.408939,
1_1_LT05_116034_19860704,100.0,109.907745,,1.0,1986-07-04T01:34:11,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,30.294739,
1_1_LT05_116034_19860805,55.0,117.540192,1558.0,0.8260232721797619,1986-08-05T01:33:04,0.0,1.934283744771133,1677.0,,Han_Land_Downstream,1821.9999999999998,116.0,59,66.0,1590.0,34.0,5,1489.0000000000002,246.16140075114174,1001.0,34.494751,
1_1_LT05_116034_19860821,44.0,123.982285,784.9999999999997,0.0,1986-08-21T01:32:28,4.0,0.2015164363686858,1060.0,155.0,Han_Land_Downstream,1336.0,116.0,393,66.0,1075.9999999999995,34.0,5,1197.9999999999995,160.13512882473017,712.959513590844,37.542938,
1_1_LT05_116034_19860922,39.0,137.511353,1162.1484580444658,0.5883180858550318,1986-09-22T01:31:23,0.0,1.2906955728321048,1439.0,182.0,Han_Land_Downstream,1729.0,116.0,144,66.0,1417.0837390457639,34.0,5,1401.0,217.8447723935142,796.0,45.55291,
1_1_LT05_116034_19861008,42.0,143.091843,,1.0,1986-10-08T01:30:53,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,50.314644,
1_1_LT05_116034_19861024,31.0,147.262878,,1.0,1986-10-24T01:30:20,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,55.227203,
1_1_LT05_116034_19861109,87.0,149.833038,,1.0,1986-11-09T01:29:45,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,59.889553,
1_1_LT05_116034_19861125,52.0,150.90593,,1.0,1986-11-25T01:29:15,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,63.760178,
1_1_LT05_116034_19861211,3.0,150.643219,1090.0000000000002,0.15349491841644444,1986-12-11T01:29:42,0.0,0.1987609891077696,1306.0000000000002,234.0,Han_Land_Downstream,1340.0000000000002,116.0,404,66.0,1235.9999999999993,34.0,5,1608.0,86.89014773553149,1183.0,66.400406,
1_1_LT05_116034_19870213,58.0,141.296997,,1.0,1987-02-13T01:31:45,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,60.185299,
1_1_LT05_116034_19870301,11.0,138.308807,1083.0,0.8839827831694022,1987-03-01T01:32:23,4.0,1.233308659250165,1236.0,,Han_Land_Downstream,1248.0,116.0,47,66.0,1242.0,34.0,5,1136.0,63.91614016972885,808.0,54.994167,
1_1_LT05_116034_19870317,23.0,135.171127,,1.0,1987-03-17T01:32:58,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,49.180935,
1_1_LT05_116034_19870402,37.0,131.650894,,1.0,1987-04-02T01:33:33,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,43.290039,
1_1_LT05_116034_19870418,1.0,127.461929,,1.0,1987-04-18T01:34:04,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,37.89801,
1_1_LT05_116034_19870520,0.0,117.223694,,0.7950182478765363,1987-05-20T01:34:59,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,30.563145,
1_1_LT05_116034_19870621,1.0,110.324486,820.9999999999999,0.0,1987-06-21T01:35:44,0.0,0.5420098373987633,1085.9999999999998,124.0,Han_Land_Downstream,1234.9999999999998,116.0,481,66.0,1058.0,34.0,5,1604.9999999999993,80.52127596569406,1173.0,29.074398,
1_1_LT05_116034_19870808,56.0,119.857498,864.9999999999998,0.0,1987-08-08T01:36:53,0.0,0.7173009115292416,1214.0000000000005,143.0,Han_Land_Downstream,1481.9999999999998,116.0,481,66.0,1249.0000000000002,34.0,5,1715.9999999999998,102.82376907350768,1219.0,34.176403,
1_1_LT05_116034_19870824,49.0,126.79203,1288.890357698289,0.1772171579136868,1987-08-24T01:37:20,0.0,0.0,1553.9999999999998,,Han_Land_Downstream,1874.5527351703543,116.0,397,130.0,1518.8012572262446,34.0,5,1674.2347067922938,147.95999091729126,1092.0,37.242764,
1_1_LT05_116034_19870909,23.0,134.036896,913.9999999999998,0.0,1987-09-09T01:37:45,4.0,0.0,1184.0000000000002,167.0,Han_Land_Downstream,1421.0,116.0,408,66.0,1156.0000000000002,34.0,5,1240.893505951138,175.4065571685453,696.6401022799913,41.00201,
1_1_LT05_116034_19871011,19.0,146.258438,,1.0,1987-10-11T01:38:26,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,50.204952,
1_1_LT05_116034_19871027,14.0,150.26709,1305.9999999999995,0.0,1987-10-27T01:38:40,4.0,1.960918892367958,1417.2017075451772,209.0,Han_Land_Downstream,1476.1634484416309,116.0,366,66.0,1396.2081912631877,34.0,5,1342.8027333677153,139.02695555641785,847.9999999999999,55.103897,
1_1_LT05_116034_19871214,36.0,152.771423,1258.9999999999998,0.6162217894375073,1987-12-14T01:39:34,0.0,0.8672272376680816,1353.0,,Han_Land_Downstream,1379.0,116.0,182,66.0,1399.9999999999995,34.0,5,1632.0,97.33866261514603,1235.0000000000002,65.740433,
1_1_LT05_116034_19871230,2.0,151.041992,928.9999999999999,0.4657872772204311,1987-12-30T01:39:50,0.0,0.0,1108.0,234.0,Han_Land_Downstream,1235.9999999999993,116.0,255,66.0,1118.9999999999998,34.0,5,1660.0,56.08078645815569,1227.9999999999998,66.495216,
1_1_LT05_116034_19880115,66.0,148.600754,,1.0,1988-01-15T01:40:06,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,65.426651,
1_1_LT05_116034_19880131,2.0,145.80751,998.9999999999999,0.3274716462366824,1988-01-31T01:40:24,0.0,1.335137219786056,1180.0808600569696,,Han_Land_Downstream,1246.0,116.0,321,66.0,1171.0,34.0,5,1477.136509005218,117.06935084508363,1177.137462693023,62.613022,
1_1_LT05_116034_19880216,7.0,142.902695,1071.0,0.801204523509484,1988-02-16T01:40:40,0.0,1.9002771642472707,1243.0,217.0,Han_Land_Downstream,1356.0,116.0,93,66.0,1278.0,34.0,5,1336.0,149.03084376123022,1032.0000000000002,58.31543,
1_1_LT05_116034_19880303,7.0,139.937637,1100.0000000000002,0.3059260592769586,1988-03-03T01:40:51,0.0,1.820647182524189,1345.0,204.0,Han_Land_Downstream,1421.0,116.0,331,66.0,1358.1063854489164,34.0,5,1372.0955843766399,92.67011691034324,1002.0,52.957962,
1_1_LT05_116034_19880319,26.0,136.802048,914.9999999999999,0.0,1988-03-19T01:41:00,4.0,1.9998437438960075,1135.0000000000002,187.0,Han_Land_Downstream,1305.88377241532,116.0,480,66.0,1208.9999999999998,34.0,5,1395.9999999999998,154.36552589855546,969.0000000000002,47.074074,
1_1_LT05_116034_19880420,54.0,128.885086,,1.0,1988-04-20T01:41:11,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,35.952713,
1_1_LT05_116034_19880607,30.0,113.890602,819.0,0.22268955697756257,1988-06-07T01:41:34,4.0,,1047.0,,Han_Land_Downstream,947.0,116.0,0,68.0,978.0,34.0,5,1144.0,,883.0,27.956558,
1_1_LT05_116034_19880623,88.0,111.787048,,1.0,1988-06-23T01:41:39,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,28.154739,
1_1_LT05_116034_19880725,96.0,116.496941,,1.0,1988-07-25T01:41:47,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,31.298119,
1_1_LT05_116034_19880826,100.0,129.343155,,1.0,1988-08-26T01:41:50,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,37.224419,
1_1_LT05_116034_19880927,8.0,142.786606,761.0,0.0,1988-09-27T01:41:41,4.0,1.8122654390355124,1028.0000000000005,183.0,Han_Land_Downstream,1218.0,116.0,461,66.0,1048.0,34.0,5,1265.0000000000002,188.85254531809494,872.9999999999999,45.809254,
1_1_LT05_116034_19881013,2.0,147.907074,810.9999999999998,0.4391601067050717,1988-10-13T01:41:35,0.0,1.9785492766791137,1075.0,197.0,Han_Land_Downstream,1260.9271276595741,116.0,267,66.0,1126.9999999999998,34.0,5,1478.887114537445,173.4641094747763,1024.1820778293466,50.752274,
1_1_LT05_116034_19881029,2.0,151.496384,849.0,0.5776884932000066,1988-10-29T01:41:37,0.0,1.7545369759569047,1033.0,211.0,Han_Land_Downstream,1238.0000000000002,116.0,200,66.0,1141.9999999999998,34.0,5,1516.0,90.31288058743259,1078.0,55.695671,
1_1_LT05_116034_19881114,1.0,153.437042,859.0,0.5199581035301049,1988-11-14T01:41:38,0.0,1.8793232706691712,1101.0000000000002,221.0,Han_Land_Downstream,1289.0,116.0,228,66.0,1113.9999999999998,34.0,5,1553.0000000000002,132.17430651611625,1105.6996170416467,60.176464,
1_1_LT05_116034_19881130,4.0,153.83284,963.0,0.6093399669410667,1988-11-30T01:41:38,0.0,1.9051219391484038,1169.0,229.0,Han_Land_Downstream,1266.9999999999998,116.0,184,66.0,1168.0000000000002,34.0,5,1534.5772038180796,138.63319901996968,1062.0,63.719666,
1_1_LT05_116034_19890117,27.0,148.296677,2031.9999999999998,0.279249791335941,1989-01-17T01:41:08,4.0,1.864302619436313,2127.0000000000005,231.0,Han_Land_Downstream,2050.121776504298,116.0,348,66.00000000000004,2056.2909472701817,34.0,5,2004.5393013100438,431.5240198165373,1501.9999999999998,65.000427,
1_1_LT05_116034_19890202,8.0,145.394882,994.9999999999998,0.19325565029540293,1989-02-02T01:41:05,0.0,0.7487731011626909,1146.9999999999998,225.0,Han_Land_Downstream,1219.9999999999998,116.0,385,66.0,1196.4470846567074,34.0,5,1577.8931067044382,113.02620266760516,1218.4080834874871,61.945011,
1_1_LT05_116034_19890218,5.0,142.389374,941.9999999999999,0.004173281180956746,1989-02-18T01:41:01,0.0,1.9808434645038984,1156.0000000000002,215.0,Han_Land_Downstream,1204.0000000000002,116.0,478,66.0,1155.9999999999998,34.0,5,1453.0000000000002,144.3774314161796,1030.184524173339,57.473572,
1_1_LT05_116034_19890306,27.0,139.311142,1036.0,0.0,1989-03-06T01:40:42,0.0,0.5115528149431916,1209.0000000000005,201.0,Han_Land_Downstream,1295.0,116.0,481,66.0,1234.9999999999998,34.0,5,1614.9999999999998,119.89299631610191,1238.9999999999998,52.030285,
1_1_LT05_116034_19890322,1.0,135.990479,891.9999999999999,0.0,1989-03-22T01:40:01,4.0,1.8955465559107436,1120.0000000000005,184.0,Han_Land_Downstream,1213.9999999999998,116.0,417,66.0,1119.9999999999998,34.0,5,1274.0,165.19067880943038,922.0000000000002,46.1548,
1_1_LT05_116034_19890407,90.0,132.177567,,1.0,1989-04-07T01:40:11,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,40.429138,
1_1_LT05_116034_19890423,49.0,127.574165,1064.9999999999998,0.33008199270084937,1989-04-23T01:39:55,4.0,1.99874212241799,1292.0,148.0,Han_Land_Downstream,1370.0,116.0,282,130.0,1305.9999999999998,34.0,5,1227.0000000000002,147.18584700190465,832.0000000000001,35.392597,
1_1_LT05_116034_19890525,45.0,116.760162,849.0,0.0,1989-05-25T01:39:25,4.0,0.9210742261536715,1147.9999999999995,124.0,Han_Land_Downstream,1314.0,116.0,267,66.0,1172.9999999999998,34.0,5,1159.0,146.31198520615854,769.0,29.205921,
1_1_LT05_116034_19890610,54.0,112.566116,907.0,0.0,1989-06-10T01:39:08,4.0,1.9986277871454876,1311.0,121.0,Han_Land_Downstream,1658.0,116.0,54,66.0,1424.0,34.0,5,1416.0,329.9276165575601,986.0,28.397366,
1_1_LT05_116034_19890626,86.0,110.891388,,1.0,1989-06-26T01:38:48,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,28.858376,
1_1_LT05_116034_19890813,48.0,122.249573,896.0000000000002,0.0,1989-08-13T01:37:48,0.0,1.3310809796069423,1152.0000000000005,147.0,Han_Land_Downstream,1402.9999999999998,116.0,481,66.0,1128.9999999999998,34.0,5,1571.0,162.70704580918667,1098.9999999999998,35.141186,
1_1_LT05_116034_19890930,8.0,142.189056,791.0000000000001,0.0,1989-09-30T01:36:45,4.0,1.7767490397997059,1069.0000000000005,187.0,Han_Land_Downstream,1287.0,116.0,477,66.0,1081.9999999999998,34.0,5,1347.0,171.6256029072479,887.0,47.292904,
1_1_LT05_116034_19891101,1.0,150.334198,888.0000000000001,0.4719981015662078,1989-11-01T01:35:46,0.0,0.25197431555126526,1149.0,214.0,Han_Land_Downstream,1259.0,116.0,251,66.0,1152.0,34.0,5,1636.9999999999998,66.60854744014286,1189.0,57.10334,
1_1_LT05_116034_19891117,27.0,152.00679,,1.0,1989-11-17T01:35:10,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,61.447624,
1_1_LT05_116034_19891203,41.0,152.139633,1460.0,0.5424774560987186,1989-12-03T01:34:52,4.0,1.5603348408528617,1584.9999999999998,231.0,Han_Land_Downstream,1546.2293901317805,116.0,219,66.0,1584.9999999999998,34.0,5,1481.0,104.36839916722971,1054.2027129679868,64.823349,
1_1_LT05_116034_19891219,10.0,150.957123,890.0,0.7174115837192938,1989-12-19T01:34:24,4.0,1.9997704184116871,1129.0,234.0,Han_Land_Downstream,1294.0,116.0,132,66.0,1164.0,34.0,5,1417.0393730886851,163.64237923847344,935.0,66.77298,
1_1_LT05_116034_19900104,2.0,148.778152,,0.8291491416133413,1990-01-04T01:33:49,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,67.016418,
1_1_LT05_116034_19900120,3.0,145.989944,1126.9668960145398,0.2617629248973047,1990-01-20T01:33:24,0.0,0.21289765903630903,1403.9999999999998,232.0,Han_Land_Downstream,1577.9999999999998,116.0,352,66.0,1430.0,34.0,5,2179.0000000000005,203.97366220848585,1903.9999999999998,65.465424,
1_1_LT05_116034_19900221,100.0,139.678055,,1.0,1990-02-21T01:32:23,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,57.695068,
1_1_LT05_116034_19900309,6.0,136.330688,1304.0000000000002,0.868017936926174,1990-03-09T01:31:48,0.0,1.9989591464296346,1476.0,,Han_Land_Downstream,1469.0,116.0,62,130.0,1469.0,34.0,5,1470.9999999999995,104.65264009113088,1044.0,52.270233,
1_1_LT05_116034_19900325,63.0,132.789886,,1.0,1990-03-25T01:31:17,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,46.443512,
1_1_LT05_116034_19900512,34.0,118.660011,,1.0,1990-05-12T01:31:18,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,32.447762,
1_1_LT05_116034_19900528,56.0,113.516563,,1.0,1990-05-28T01:31:13,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,30.40139,
1_1_LT05_116034_19900613,43.0,109.903549,,1.0,1990-06-13T01:31:13,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,29.820885,
1_1_LT05_116034_19900731,42.0,115.224998,,1.0,1990-07-31T01:31:05,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,34.035851,
1_1_LT05_116034_19900917,93.0,135.351669,,1.0,1990-09-17T01:30:52,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,44.249538,
1_1_LT05_116034_19901003,88.0,141.428314,,1.0,1990-10-03T01:30:38,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,48.826977,
1_1_LT05_116034_19901019,4.0,146.195648,912.9999999999999,0.0,1990-10-19T01:30:34,4.0,0.7465991992688992,1132.9999999999998,205.0,Han_Land_Downstream,1306.712047571208,116.0,415,66.0,1177.0,34.0,5,1240.0,151.5952921808901,804.0,53.682091,
1_1_LT05_116034_19901104,2.0,149.386185,799.0,0.0,1990-11-04T01:30:29,4.0,1.3735885635218918,1054.0000000000002,217.0,Han_Land_Downstream,1265.0,116.0,432,66.0,1115.0,34.0,5,1254.0,189.445142607032,806.0,58.423298,
1_1_LT05_116034_19901120,36.0,150.932678,,1.0,1990-11-20T01:30:29,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,62.59837,
1_1_LT05_116034_19901206,38.0,151.047333,1422.0,0.6758506128995304,1990-12-06T01:30:17,4.0,1.7051797199155398,1497.0,232.0,Han_Land_Downstream,1455.9999999999995,116.0,155,66.0,1455.0,34.0,5,1431.0,77.4326053176904,1019.9999999999998,65.654671,
1_1_LT05_116034_19910123,21.0,145.113739,2672.0,0.9319264193247467,1991-01-23T01:31:30,4.0,0.0,2945.0,,Han_Land_Downstream,2815.0,116.0,23,130.0,2993.0,34.0,5,2399.0,307.6764681832593,1854.0,65.181816,
1_1_LT05_116034_19910208,2.0,142.190842,889.9999999999999,0.7184262638495656,1991-02-08T01:31:39,4.0,1.5264143698230723,1068.9999999999998,224.0,Han_Land_Downstream,1152.9999999999998,116.0,130,66.0,1075.0,34.0,5,1237.0,123.10927195072131,794.9999999999998,61.603432,
1_1_LT05_116034_19910224,7.0,139.161179,1286.0,0.29301343632882193,1991-02-24T01:32:03,0.0,1.7388696904752565,1544.0,213.0,Han_Land_Downstream,1746.4189109494791,116.0,336,66.0,1657.3847116487643,34.0,5,1862.0,358.4043909434735,1585.3589273435712,56.75288,
1_1_LT05_116034_19910312,56.0,136.029373,,1.0,1991-03-12T01:32:22,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,51.109253,
1_1_LT05_116034_19910328,100.0,132.572296,,1.0,1991-03-28T01:32:36,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,45.217163,
1_1_LT05_116034_19910429,21.0,123.729309,845.0,0.0,1991-04-29T01:33:12,4.0,1.5448533950588055,1107.0,146.0,Han_Land_Downstream,1272.9999999999998,116.0,433,66.0,1131.9999999999998,34.0,5,1240.0,165.5240757741505,840.0000000000001,34.963493,
1_1_LT05_116034_19910515,38.0,118.393303,,1.0,1991-05-15T01:33:28,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,31.587475,
1_1_LT05_116034_19910531,1.0,113.455788,873.0,0.9551495016611296,1991-05-31T01:33:43,4.0,0.0,1146.0,,Han_Land_Downstream,1330.0,116.0,10,130.0,1188.0,34.0,5,1105.0,126.72336011959264,716.0,29.744019,
1_1_LT05_116034_19910616,99.0,110.248749,,1.0,1991-06-16T01:33:53,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,29.341709,
1_1_LT05_116034_19910702,92.0,109.792892,,1.0,1991-07-02T01:34:13,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,30.071819,
1_1_LT05_116034_19910718,81.0,112.249748,,1.0,1991-07-18T01:34:24,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,31.631802,
1_1_LT05_116034_19910819,12.0,123.684464,988.0,0.0,1991-08-19T01:34:36,0.0,1.7073167707123234,1157.0,152.0,Han_Land_Downstream,1339.0000000000002,116.0,480,66.0,1066.9999999999998,34.0,5,1382.0,72.72851331703146,1005.0000000000001,36.713879,
1_1_LT05_116034_19910920,40.0,137.717224,,1.0,1991-09-20T01:35:00,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,44.441406,
1_1_LT05_116034_19911006,9.0,143.633392,943.0000000000002,0.0,1991-10-06T01:35:04,4.0,1.7021372535620578,1160.0,193.0,Han_Land_Downstream,1339.0,116.0,459,66.0,1164.6239760432766,34.0,5,1305.9999999999998,136.55124985821314,878.0000000000001,49.127293,
1_1_LT05_116034_19911022,0.0,148.129883,896.0,0.31871593866094955,1991-10-22T01:35:11,4.0,1.9999618956894465,1095.0,206.0,Han_Land_Downstream,1248.9999999999998,116.0,324,66.0,1142.0507910797444,34.0,5,1436.0000000000005,154.23921104883007,993.0,54.022926,
1_1_LT05_116034_19911123,69.0,152.272522,,1.0,1991-11-23T01:35:15,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,62.730751,
1_1_LT05_116034_19911209,7.0,152.03862,1028.0,0.2879073040603573,1991-12-09T01:35:32,0.0,1.0287453379238196,1254.2678189939797,232.0,Han_Land_Downstream,1277.4878412356322,116.0,337,66.0,1251.0,34.0,5,1500.2597264796036,111.2398452161615,1141.0,65.607239,
1_1_LT05_116034_19920110,1.0,148.262451,1171.9999999999995,0.41111729374989764,1992-01-10T01:35:17,0.0,1.9470542899886651,1342.9999999999998,234.0,Han_Land_Downstream,1318.0,116.0,280,66.0,1302.0,34.0,5,1436.9999999999998,134.63839230944993,1028.0,66.491165,
1_1_LT05_116034_19920126,17.0,145.466049,1216.0,0.4211659002012996,1992-01-26T01:35:21,0.0,,1365.0,,Han_Land_Downstream,1538.0,116.0,0,66.0,1421.0,34.0,5,1593.0,,1137.0,64.268616,
1_1_LT05_116034_19920211,12.0,142.453842,1191.0,0.7513297219449127,1992-02-11T01:35:12,0.0,1.9447936194419762,1370.0,222.0,Han_Land_Downstream,1389.0,116.0,60,66.0,1389.0,34.0,5,1422.0,92.07224820155614,987.0,60.459198,
1_1_LT05_116034_19920227,74.0,139.37233,,1.0,1992-02-27T01:35:13,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,55.45623,
1_1_LT05_116034_19920314,100.0,136.145508,,1.0,1992-03-14T01:35:13,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,49.758854,
1_1_LT05_116034_19920330,7.0,132.545837,1278.0,0.21335286319820643,1992-03-30T01:35:07,4.0,1.9913624173517732,1397.0000000000002,177.0,Han_Land_Downstream,1328.9699688112923,116.0,377,66.00000000000003,1356.9773425196854,34.0,5,1446.0,40.18119539758596,1081.9999999999998,43.914631,
1_1_LT05_116034_19920501,22.0,123.257362,1326.0,0.5829582835539991,1992-05-01T01:34:52,4.0,1.6967300119830537,1578.0000000000005,,Han_Land_Downstream,1541.0000000000002,116.0,136,66.0,1550.9999999999998,34.0,5,1417.0,121.37679044823795,968.0000000000002,34.057747,
1_1_LT05_116034_19920602,0.0,112.943581,1019.0,0.6853509647644142,1992-06-02T01:34:34,0.0,1.9936464198695536,1224.0,125.0,Han_Land_Downstream,1331.0,116.0,113,130.0,1211.9999999999998,34.0,5,1205.3596986817327,149.10102347360728,786.4506283662477,29.475826,
1_1_LT05_116034_19920618,12.0,110.045593,906.9999999999999,0.0,1992-06-18T01:34:21,4.0,0.737045305450088,1178.9999999999995,125.0,Han_Land_Downstream,1295.0,116.0,341,66.0,1170.0,34.0,5,1225.0,134.25406545889817,815.9999999999998,29.356762,
1_1_LT05_116034_19920704,22.0,109.978615,2880.0,0.03120959691013535,1992-07-04T01:34:11,4.0,1.9266748934762437,3072.0,,Han_Land_Downstream,3056.0,116.0,41,66.0,2950.0,34.0,5,2763.0,353.70939583836736,2205.0,30.322178,
1_1_LT05_116034_19920805,61.0,117.954834,,1.0,1992-08-05T01:33:47,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,34.462154,
1_1_LT05_116034_19920821,21.0,124.530434,720.9999999999999,0.0,1992-08-21T01:33:31,4.0,1.5166926692475458,1020.5710541097172,155.0,Han_Land_Downstream,1262.9999999999998,116.0,270,66.0,1062.2414746543777,34.0,5,1320.4545454545455,222.86543224922139,878.9456637545279,37.484459,
1_1_LT05_116034_19920906,11.0,131.562012,1290.9999999999998,0.0,1992-09-06T01:33:17,0.0,0.5420098373987633,1455.0,168.0,Han_Land_Downstream,1592.0,116.0,481,66.0,1345.0000000000002,34.0,5,1532.0,72.13717099691945,1129.1228904497125,41.179523,
1_1_LT05_116034_19920922,0.0,138.210709,762.0000000000002,0.0,1992-09-22T01:33:01,0.0,1.8053209409775703,1010.0000000000002,182.0,Han_Land_Downstream,1159.9999999999998,116.0,481,66.00000000000001,990.0000000000002,34.0,5,1437.9999999999998,72.29549343035805,1039.0,45.485165,
1_1_LT05_116034_19921008,20.0,143.80722,1088.9999999999998,0.0,1992-10-08T01:32:35,0.0,0.4439533576728196,1265.000000000001,196.0,Han_Land_Downstream,1371.9999999999998,116.0,481,66.0,1237.9999999999995,34.0,5,1560.2856760135735,145.65693330620041,1173.0000000000002,50.2467,
1_1_LT05_116034_19921125,85.0,151.579407,,1.0,1992-11-25T01:32:05,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,63.608315,
1_1_LT05_116034_19921211,31.0,151.183838,,1.0,1992-12-11T01:32:19,,,,,Han_Land_Downstream,,116.0,0,,,34.0,5,,,,66.223351,
