system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,710.0,0.10545189010157911,1984-04-09T09:51:02,4.0,0.0,949.0,173.0,Rhone_Water_Midstream,1162.0,196.0,2,66.0,1012.0,30.0,5,982.0,28.0,734.0,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,1197.0,0.0,1984-04-25T09:51:02,0.0,,1403.0,,Rhone_Water_Midstream,1901.0,196.0,0,130.0,1300.0,30.0,5,1116.0,,658.0,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,767.0,0.0,1984-05-11T09:51:21,4.0,0.0,1000.0,,Rhone_Water_Midstream,1615.0,196.0,1,66.0,851.0,30.0,5,821.0,0.0,367.0,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,670.0,0.0,1984-05-27T09:51:49,4.0,0.0,842.0,129.0,Rhone_Water_Midstream,1799.0,196.0,2,66.0,716.0,30.0,5,808.0,48.5,397.0,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,544.0,0.0,1984-06-12T09:52:08,4.0,0.0,764.0,127.0,Rhone_Water_Midstream,1864.0,196.0,3,66.0,627.0,30.0,5,851.0,105.08092119885512,360.0,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,,1.0,1984-06-28T09:52:21,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,480.0,0.0,1984-07-14T09:52:33,4.0,1.7320508075688772,708.0,135.0,Rhone_Water_Midstream,2114.0,196.0,8,66.0,518.0,30.0,5,750.0,187.76963945217554,335.0,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,,0.9231180482207355,1984-08-15T09:53:39,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,413.0,0.0,1984-08-31T09:53:56,4.0,1.39970842444753,543.0,172.0,Rhone_Water_Midstream,2068.0,196.0,7,66.0,407.0,30.0,5,912.0,193.24500679981662,381.0,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,442.0,0.0,1984-10-02T09:53:59,4.0,0.0,655.0,203.0,Rhone_Water_Midstream,2023.0,196.0,5,66.0,512.0,30.0,5,904.0,246.82755113641596,403.0,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,1140.0,0.5869942234218724,1984-10-18T09:53:56,0.0,0.0,1199.0,216.0,Rhone_Water_Midstream,1823.0,196.0,2,66.0,1106.0,30.0,5,1289.0,92.5,568.0,56.936581,
1_1_LT05_196030_19841119,19.0,156.256348,691.0,0.45957047294918446,1984-11-19T09:53:45,4.0,0.0,878.0,235.0,Rhone_Water_Midstream,1229.0,196.0,1,66.0,800.0,30.0,5,939.0,0.0,628.0,66.186554,
1_1_LT05_196030_19841205,0.0,155.997162,,0.6291515080389628,1984-12-05T09:53:51,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,69.292137,
1_1_LT05_196030_19841221,63.0,154.648468,,0.9738684817900872,1984-12-21T09:54:02,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,70.825562,
1_1_LT05_196030_19850327,17.0,140.611893,524.0,0.0,1985-03-27T09:54:16,4.0,,710.0,,Rhone_Water_Midstream,1048.0,196.0,0,66.0,718.0,30.0,5,1083.0,,743.0,47.530479,
1_1_LT05_196030_19850412,25.0,137.878967,722.0,0.18045612799749644,1985-04-12T09:54:12,4.0,,940.0,,Rhone_Water_Midstream,1536.0,196.0,0,66.0,888.0,30.0,5,1090.0,,635.0,41.644192,
1_1_LT05_196030_19850514,30.0,130.46431,868.0,0.2007328300016952,1985-05-14T09:53:59,4.0,,1015.0,,Rhone_Water_Midstream,2482.0,196.0,0,130.0,934.0,30.0,5,1040.0,,472.0,32.70673,
1_1_LT05_196030_19850530,5.0,126.377441,533.0,0.0,1985-05-30T09:54:00,4.0,0.0,692.0,129.0,Rhone_Water_Midstream,1762.0,196.0,3,66.0,565.0,30.0,5,902.0,98.07140255956371,395.0,30.408882,
1_1_LT05_196030_19850615,35.0,123.344185,565.0,0.0,1985-06-15T09:53:58,4.0,0.0,759.0,126.0,Rhone_Water_Midstream,1971.0,196.0,4,66.0,626.0,30.0,5,949.0,145.08962747212496,464.0,29.702427,
1_1_LT05_196030_19850701,21.0,122.441811,,0.23303211673121316,1985-07-01T09:53:54,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,30.40134,
1_1_LT05_196030_19850802,0.0,127.887268,357.0,0.0,1985-08-02T09:53:40,4.0,0.0,548.0,147.0,Rhone_Water_Midstream,2239.0,196.0,6,66.0,399.0,30.0,5,930.0,162.83393039808638,383.0,34.947666,
1_1_LT05_196030_19850818,0.0,133.126434,360.0,0.0,1985-08-18T09:53:30,4.0,0.0,556.0,160.0,Rhone_Water_Midstream,1798.0,196.0,3,66.0,397.0,30.0,5,1001.0,66.54822812567339,439.0,38.46336,
1_1_LT05_196030_19850903,45.0,138.922028,,1.0,1985-09-03T09:53:19,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,42.679077,
1_1_LT05_196030_19851106,37.0,155.052582,480.0,0.0,1985-11-06T09:52:32,4.0,0.0,604.0,229.0,Rhone_Water_Midstream,1386.0,196.0,6,66.0,574.0,30.0,5,1126.0,162.7684108036799,671.0,62.857735,
1_1_LT05_196030_19851122,48.0,155.823624,,1.0,1985-11-22T09:52:16,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,66.9897,
1_1_LT05_196030_19851208,95.0,155.29837,,1.0,1985-12-08T09:51:58,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,69.874725,
1_1_LT05_196030_19860109,6.0,151.438675,603.0,0.0,1986-01-09T09:51:23,4.0,0.0,711.0,242.0,Rhone_Water_Midstream,1213.0,196.0,5,66.0,703.0,30.0,5,1188.0,111.69350921159223,671.0,70.565567,
1_1_LT05_196030_19860125,4.0,148.848755,,0.35938661346477346,1986-01-25T09:51:02,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,68.188126,
1_1_LT05_196030_19860210,5.0,146.235718,1530.0,0.9983309209925805,1986-02-10T09:50:40,4.0,,1630.0,,Rhone_Water_Midstream,1592.0,196.0,0,66.0,1555.0,30.0,5,1316.0,,940.0,64.212303,
1_1_LT05_196030_19860226,71.0,143.734604,,1.0,1986-02-26T09:50:18,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,59.028572,
1_1_LT05_196030_19860314,71.0,141.278137,1019.0,0.006676316029678312,1986-03-14T09:49:58,0.0,,1144.0,,Rhone_Water_Midstream,1336.0,196.0,0,66.0,1055.0,30.0,5,1236.0,,751.0,53.134396,
1_1_LT05_196030_19860330,36.0,138.680496,,1.0,1986-03-30T09:49:39,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,47.061062,
1_1_LT05_196030_19860501,1.0,131.872131,,0.35169320241494884,1986-05-01T09:48:55,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,36.554356,
1_1_LT05_196030_19860517,28.0,127.581329,620.0,0.0643899385831084,1986-05-17T09:48:30,4.0,,751.0,,Rhone_Water_Midstream,1653.0,196.0,0,66.0,677.0,30.0,5,964.0,,519.0,33.067047,
1_1_LT05_196030_19860602,5.0,123.477821,549.0,0.0,1986-06-02T09:48:02,4.0,0.0,741.0,130.0,Rhone_Water_Midstream,1799.0,196.0,2,66.0,665.0,30.0,5,812.0,24.0,433.0,31.146187,
1_1_LT05_196030_19860618,6.0,120.752914,634.0,0.0,1986-06-18T09:47:32,4.0,0.0,807.0,128.0,Rhone_Water_Midstream,1810.0,196.0,2,66.0,664.0,30.0,5,798.0,12.0,334.0,30.800655,
1_1_LT05_196030_19860821,0.0,131.44603,404.0,0.0,1986-08-21T09:45:18,4.0,0.0,551.0,166.0,Rhone_Water_Midstream,1850.0,196.0,4,66.0,421.0,30.0,5,975.0,153.50631094518556,452.0,40.261459,
1_1_LT05_196030_19860906,15.0,137.19696,,1.0,1986-09-06T09:44:42,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,44.528744,
1_1_LT05_196030_19861008,1.0,147.289703,502.0,0.0,1986-10-08T09:43:42,4.0,0.0,578.0,210.0,Rhone_Water_Midstream,1731.0,196.0,3,66.0,529.0,30.0,5,1047.0,44.45472103412832,486.0,54.495495,
1_1_LT05_196030_19861109,1.0,152.721802,584.0,0.23918684557107284,1986-11-09T09:42:34,4.0,0.0,673.0,,Rhone_Water_Midstream,1419.0,196.0,1,66.0,574.0,30.0,5,974.0,0.0,450.0,64.467896,
1_1_LT05_196030_19861211,1.0,152.980499,,0.25693384970465133,1986-12-11T09:42:32,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,70.945023,
1_1_LT05_196030_19861227,4.0,151.493744,,0.7644903441171484,1986-12-27T09:43:02,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,71.862595,
1_1_LT05_196030_19870112,13.0,149.335144,,0.35450977323996935,1987-01-12T09:43:30,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,70.948631,
1_1_LT05_196030_19870213,17.0,144.452698,,0.25471710414792226,1987-02-13T09:44:24,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,63.950127,
1_1_LT05_196030_19870301,55.0,142.120499,,1.0,1987-03-01T09:45:13,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,58.555508,
1_1_LT05_196030_19870317,4.0,139.811905,578.0,0.2598286586081447,1987-03-17T09:45:49,4.0,,731.0,,Rhone_Water_Midstream,1159.0,196.0,0,66.0,699.0,30.0,5,1039.0,,639.0,52.502071,
1_1_LT05_196030_19870418,45.0,134.438995,,0.30759300551578467,1987-04-18T09:46:55,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,40.698177,
1_1_LT05_196030_19870504,48.0,130.870575,,1.0,1987-05-04T09:47:23,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,35.97892,
1_1_LT05_196030_19870520,34.0,126.865479,1123.0,0.0,1987-05-20T09:47:50,4.0,0.0,1235.0,136.0,Rhone_Water_Midstream,1651.0,196.0,1,66.0,1058.0,30.0,5,769.0,0.0,437.0,32.614426,
1_1_LT05_196030_19870605,1.0,123.189774,381.0,0.0,1987-06-05T09:48:13,4.0,0.0,536.0,128.0,Rhone_Water_Midstream,1718.0,196.0,2,66.0,456.0,30.0,5,880.0,36.0,396.0,30.834232,
1_1_LT05_196030_19870621,0.0,121.036324,598.0,0.0,1987-06-21T09:48:34,4.0,0.0,797.0,129.0,Rhone_Water_Midstream,1760.0,196.0,3,66.0,716.0,30.0,5,713.0,20.005554784165525,328.0,30.577702,
1_1_LT05_196030_19870707,40.0,121.192177,,1.0,1987-07-07T09:48:54,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,31.602119,
1_1_LT05_196030_19870723,27.0,123.811539,806.0,0.1783045808394946,1987-07-23T09:49:12,4.0,,955.0,,Rhone_Water_Midstream,2012.0,196.0,0,130.0,818.0,30.0,5,1040.0,,459.0,33.647572,
1_1_LT05_196030_19870808,1.0,128.412674,526.0,0.0,1987-08-08T09:49:42,4.0,0.0,729.0,152.0,Rhone_Water_Midstream,1923.0,196.0,6,66.0,550.0,30.0,5,926.0,156.52262882194808,353.0,36.538441,
1_1_LT05_196030_19870909,55.0,140.164841,,1.0,1987-09-09T09:50:35,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,44.534245,
1_1_LT05_196030_19870925,32.0,145.71524,,1.0,1987-09-25T09:50:56,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,49.394951,
1_1_LT05_196030_19871027,63.0,153.582779,,1.0,1987-10-27T09:51:29,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,59.71172,
1_1_LT05_196030_19871112,88.0,155.433365,,1.0,1987-11-12T09:51:53,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,64.368584,
1_1_LT05_196030_19871128,7.0,155.872467,855.0,0.25808134152225226,1987-11-28T09:52:11,4.0,,965.0,,Rhone_Water_Midstream,1633.0,196.0,0,66.0,932.0,30.0,5,1007.0,,596.0,68.078484,
1_1_LT05_196030_19871230,21.0,153.318069,,1.0,1987-12-30T09:52:40,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,71.005165,
1_1_LT05_196030_19880131,86.0,148.553055,,1.0,1988-01-31T09:53:14,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,66.717361,
1_1_LT05_196030_19880216,1.0,146.14769,,0.31872889201841215,1988-02-16T09:53:30,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,62.199287,
1_1_LT05_196030_19880303,2.0,143.87706,684.0,0.0985147804769915,1988-03-03T09:53:41,4.0,,838.0,,Rhone_Water_Midstream,1109.0,196.0,0,66.0,740.0,30.0,5,1133.0,,648.0,56.631527,
1_1_LT05_196030_19880319,0.0,141.629578,487.5,0.0,1988-03-19T09:53:50,4.0,,701.0,,Rhone_Water_Midstream,1092.0,196.0,0,66.0,679.0,30.0,5,980.0,,714.0,50.529846,
1_1_LT05_196030_19880506,72.0,132.447098,,1.0,1988-05-06T09:54:11,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,34.366856,
1_1_LT05_196030_19880522,6.0,128.310745,616.0,0.08826559219705565,1988-05-22T09:54:18,4.0,,805.0,,Rhone_Water_Midstream,2112.0,196.0,0,130.0,629.0,30.0,5,1141.0,,531.0,31.279415,
1_1_LT05_196030_19880607,29.0,124.67926,558.0,0.0,1988-06-07T09:54:24,4.0,0.0,771.0,127.0,Rhone_Water_Midstream,1858.0,196.0,3,66.0,626.0,30.0,5,920.0,49.74825513411337,323.0,29.782742,
1_1_LT05_196030_19880623,64.0,122.69799,,1.0,1988-06-23T09:54:29,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,29.807732,
1_1_LT05_196030_19880709,0.0,123.166573,475.0,0.0,1988-07-09T09:54:33,4.0,0.0,713.0,129.0,Rhone_Water_Midstream,1681.0,196.0,2,66.0,612.0,30.0,5,793.0,123.5,332.0,31.08847,
1_1_LT05_196030_19880725,0.0,126.061806,394.0,0.0,1988-07-25T09:54:36,4.0,0.0,597.0,141.0,Rhone_Water_Midstream,1878.0,196.0,3,66.0,414.0,30.0,5,918.0,35.35533905932738,377.0,33.376259,
1_1_LT05_196030_19880810,0.0,130.794266,583.0,0.10746000078238081,1988-08-10T09:54:35,4.0,0.0,744.0,153.0,Rhone_Water_Midstream,1622.0,196.0,6,130.0,562.0,30.0,5,957.0,183.24209851086803,393.0,36.498154,
1_1_LT05_196030_19880826,0.0,136.485962,432.0,0.0,1988-08-26T09:54:40,4.0,0.0,623.0,167.0,Rhone_Water_Midstream,2040.0,196.0,4,66.0,450.0,30.0,5,943.0,122.13312409006821,411.0,40.377483,
1_1_LT05_196030_19880911,31.0,142.298141,596.0,0.0,1988-09-11T09:54:39,4.0,0.0,739.0,182.0,Rhone_Water_Midstream,1732.0,196.0,9,66.0,610.0,30.0,5,1004.0,208.313865757099,404.0,44.917606,
1_1_LT05_196030_19880927,11.0,147.541168,450.0,0.0,1988-09-27T09:54:31,4.0,0.0,538.0,198.0,Rhone_Water_Midstream,1513.0,196.0,3,66.0,455.0,30.0,5,947.0,128.4168559375631,394.0,49.958359,
1_1_LT05_196030_19881029,25.0,154.671585,682.0,0.0,1988-10-29T09:54:27,4.0,0.0,886.0,224.0,Rhone_Water_Midstream,1499.0,196.0,3,66.0,779.0,30.0,5,1114.0,34.70190516703904,576.0,60.362461,
1_1_LT05_196030_19881114,54.0,156.148712,,1.0,1988-11-14T09:54:28,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,64.928123,
1_1_LT05_196030_19881216,26.0,155.136368,,0.33170337336515027,1988-12-16T09:54:12,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,70.542961,
1_1_LT05_196030_19890101,1.0,153.196045,,0.7041818252943708,1989-01-01T09:54:11,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,70.832764,
1_1_LT05_196030_19890117,46.0,150.760269,,1.0,1989-01-17T09:53:57,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,69.286591,
1_1_LT05_196030_19890202,52.0,148.208603,,1.0,1989-02-02T09:53:55,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,66.017609,
1_1_LT05_196030_19890306,35.0,143.376251,,1.0,1989-03-06T09:53:31,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,55.666283,
1_1_LT05_196030_19890407,88.0,138.31398,,1.0,1989-04-07T09:53:01,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,43.584507,
1_1_LT05_196030_19890423,0.0,135.05336,544.0,0.0,1989-04-23T09:52:45,4.0,,723.0,,Rhone_Water_Midstream,1678.0,196.0,0,66.0,604.0,30.0,5,956.0,,566.0,38.230652,
1_1_LT05_196030_19890509,68.0,131.077759,,1.0,1989-05-09T09:52:33,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,34.005508,
1_1_LT05_196030_19890610,87.0,123.266838,,1.0,1989-06-10T09:51:57,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,30.10738,
1_1_LT05_196030_19890626,71.0,121.588974,,1.0,1989-06-26T09:51:37,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,30.426544,
1_1_LT05_196030_19890728,1.0,125.515503,886.0,0.2686956408350612,1989-07-28T09:51:00,4.0,0.0,983.0,144.0,Rhone_Water_Midstream,1652.0,196.0,2,66.0,877.0,30.0,5,773.0,196.0,307.0,34.434544,
1_1_LT05_196030_19890813,0.0,130.362778,484.0,0.0,1989-08-13T09:50:38,4.0,0.0,623.0,157.0,Rhone_Water_Midstream,1852.0,196.0,4,66.0,489.0,30.0,5,924.0,150.36954478883015,364.0,37.707123,
1_1_LT05_196030_19890829,58.0,136.023483,,1.0,1989-08-29T09:50:18,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,41.705162,
1_1_LT05_196030_19890914,1.0,141.715988,666.0,0.0,1989-09-14T09:49:43,4.0,0.0,774.0,187.0,Rhone_Water_Midstream,1866.0,196.0,7,66.0,633.0,30.0,5,948.0,164.03483950499228,409.0,46.323811,
1_1_LT05_196030_19890930,1.0,146.786209,623.0,0.0,1989-09-30T09:49:35,4.0,0.0,714.0,202.0,Rhone_Water_Midstream,1984.0,196.0,5,66.0,609.0,30.0,5,1051.0,112.11315712261413,452.0,51.393471,
1_1_LT05_196030_19891016,6.0,150.786743,713.0,0.0,1989-10-16T09:48:59,4.0,0.0,821.0,215.0,Rhone_Water_Midstream,2002.0,196.0,5,66.0,682.0,30.0,5,1179.0,161.26921590929857,510.0,56.641201,
1_1_LT05_196030_19891101,30.0,153.440643,4330.0,0.41348824472870954,1989-11-01T09:48:36,0.0,1.2135548273024854,4763.0,225.0,Rhone_Water_Midstream,5426.0,196.0,39,66.0,4885.0,30.0,5,5549.0,1902.7613924247828,4516.0,61.701805,
1_1_LT05_196030_19900104,1.0,151.069748,626.0,0.24478086818187758,1990-01-04T09:46:38,4.0,,841.0,,Rhone_Water_Midstream,1434.0,196.0,0,66.0,896.0,30.0,5,1166.0,,785.0,71.369911,
1_1_LT05_196030_19900120,1.0,148.477005,,0.27312913194851945,1990-01-20T09:46:13,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,69.597862,
1_1_LT05_196030_19900221,51.0,143.087204,894.0,0.0077194904093155475,1990-02-21T09:45:12,4.0,,995.0,,Rhone_Water_Midstream,1265.0,196.0,0,66.0,1092.0,30.0,5,1048.0,,587.0,61.344673,
1_1_LT05_196030_19900309,63.0,140.48526,,1.0,1990-03-09T09:44:37,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,55.67313,
1_1_LT05_196030_19900325,74.0,137.916122,,1.0,1990-03-25T09:44:06,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,49.587978,
1_1_LT05_196030_19900410,4.0,135.052689,576.0,0.0,1990-04-10T09:44:04,4.0,0.0,778.0,,Rhone_Water_Midstream,1097.0,196.0,1,66.0,706.0,30.0,5,909.0,0.0,580.0,43.694912,
1_1_LT05_196030_19900426,1.0,131.579361,603.0,0.0,1990-04-26T09:44:06,4.0,,807.0,,Rhone_Water_Midstream,1611.0,196.0,0,66.0,675.0,30.0,5,953.0,,465.0,38.538776,
1_1_LT05_196030_19900512,18.0,127.519661,555.0,0.174392676915855,1990-05-12T09:44:08,4.0,0.0,740.0,143.0,Rhone_Water_Midstream,1635.0,196.0,1,66.0,594.0,30.0,5,791.0,0.0,377.0,34.577747,
1_1_LT05_196030_19900528,11.0,123.387268,548.0,0.0,1990-05-28T09:44:02,4.0,0.0,737.0,135.0,Rhone_Water_Midstream,1943.0,196.0,3,66.0,597.0,30.0,5,956.0,137.65012007098107,397.0,32.128372,
1_1_LT05_196030_19900613,3.0,120.252258,539.0,0.0,1990-06-13T09:44:03,4.0,,712.0,,Rhone_Water_Midstream,1533.0,196.0,0,66.0,611.0,30.0,5,768.0,,366.0,31.246403,
1_1_LT05_196030_19900629,7.0,119.118538,666.0,0.15307280053201897,1990-06-29T09:44:02,4.0,0.0,841.0,,Rhone_Water_Midstream,1724.0,196.0,1,130.0,758.0,30.0,5,782.0,0.0,446.0,31.773731,
1_1_LT05_196030_19900715,41.0,120.468323,,0.8008449712475058,1990-07-15T09:43:59,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,33.419071,
1_1_LT05_196030_19900731,0.0,124.048866,446.0,0.0,1990-07-31T09:43:55,4.0,0.0,612.0,150.0,Rhone_Water_Midstream,1836.0,196.0,3,66.0,482.0,30.0,5,909.0,144.99731798285848,433.0,35.959438,
1_1_LT05_196030_19900816,0.0,129.192551,320.0,0.0,1990-08-16T09:43:51,4.0,0.0,495.0,162.0,Rhone_Water_Midstream,1837.0,196.0,4,66.0,339.0,30.0,5,858.0,139.34198039356266,332.0,39.254406,
1_1_LT05_196030_19900901,3.0,135.028809,,1.0,1990-09-01T09:43:43,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,43.253284,
1_1_LT05_196030_19901003,87.0,145.900757,,1.0,1990-10-03T09:43:27,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,52.856037,
1_1_LT05_196030_19901104,4.0,152.414719,580.0,0.002803531145275072,1990-11-04T09:43:20,4.0,0.0,721.0,,Rhone_Water_Midstream,1443.0,196.0,1,66.0,675.0,30.0,5,1078.0,0.0,543.0,62.955532,
1_1_LT05_196030_19901120,32.0,153.545181,,1.0,1990-11-20T09:43:19,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,67.186508,
1_1_LT05_196030_19901206,1.0,153.42038,,0.28790308910013185,1990-12-06T09:43:07,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,70.212219,
1_1_LT05_196030_19901222,14.0,152.155548,,0.2526046760291568,1990-12-22T09:43:28,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,71.704697,
1_1_LT05_196030_19910123,2.0,147.689743,,0.27689759939495895,1991-01-23T09:44:21,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,69.234154,
1_1_LT05_196030_19910224,5.0,142.726868,612.0,0.21523295387865285,1991-02-24T09:44:53,4.0,,743.0,,Rhone_Water_Midstream,1213.0,196.0,0,66.0,753.0,30.0,5,1451.0,,972.0,60.359573,
1_1_LT05_196030_19910312,50.0,140.377243,815.0,0.02875249383875133,1991-03-12T09:45:12,4.0,,1050.0,,Rhone_Water_Midstream,1335.0,196.0,0,66.0,1109.0,30.0,5,957.0,,625.0,54.482475,
1_1_LT05_196030_19910413,3.0,135.00975,597.0,0.0,1991-04-13T09:45:46,4.0,,799.0,,Rhone_Water_Midstream,1752.0,196.0,0,66.0,698.0,30.0,5,980.0,,533.0,42.527302,
1_1_LT05_196030_19910429,1.0,131.603409,708.0,0.0,1991-04-29T09:46:00,4.0,,894.0,,Rhone_Water_Midstream,1890.0,196.0,0,66.0,686.0,30.0,5,1029.0,,526.0,37.470535,
1_1_LT05_196030_19910515,6.0,127.536324,494.0,0.0,1991-05-15T09:46:18,4.0,,666.0,,Rhone_Water_Midstream,2014.0,196.0,0,66.0,561.0,30.0,5,950.0,,511.0,33.717113,
1_1_LT05_196030_19910531,44.0,123.611832,575.0,0.0,1991-05-31T09:46:34,4.0,0.0,698.0,131.0,Rhone_Water_Midstream,1921.0,196.0,2,66.0,564.0,30.0,5,888.0,0.0,434.0,31.468601,
1_1_LT05_196030_19910616,55.0,120.752571,644.0,0.0,1991-06-16T09:46:39,4.0,0.0,787.0,130.0,Rhone_Water_Midstream,1702.0,196.0,5,66.0,647.0,30.0,5,852.0,125.49900398011133,407.0,30.825836,
1_1_LT05_196030_19910702,36.0,120.131508,,1.0,1991-07-02T09:47:02,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,31.505604,
1_1_LT05_196030_19910718,18.0,121.944427,,1.0,1991-07-18T09:47:14,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,33.302639,
1_1_LT05_196030_19910819,0.0,131.348068,432.0,0.0,1991-08-19T09:47:26,4.0,0.0,616.0,163.0,Rhone_Water_Midstream,1851.0,196.0,3,66.0,478.0,30.0,5,1004.0,225.93951993103522,478.0,39.380344,
1_1_LT05_196030_19910904,0.0,137.304489,788.0,0.0,1991-09-04T09:47:40,4.0,0.0,907.0,177.0,Rhone_Water_Midstream,1606.0,196.0,3,66.0,715.0,30.0,5,773.0,172.2227240136059,397.0,43.497204,
1_1_LT05_196030_19911022,14.0,151.638397,,1.0,1991-10-22T09:48:02,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,58.484352,
1_1_LT05_196030_19911107,53.0,153.971497,,1.0,1991-11-07T09:48:03,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,63.323814,
1_1_LT05_196030_19911225,42.0,152.844727,,1.0,1991-12-25T09:48:14,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,71.407898,
1_1_LT05_196030_19920126,1.0,148.077255,,0.5784923522278292,1992-01-26T09:48:10,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,68.341072,
1_1_LT05_196030_19920330,64.0,138.066864,,1.0,1992-03-30T09:47:56,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,47.051826,
1_1_LT05_196030_19920501,45.0,131.373291,,1.0,1992-05-01T09:47:42,,,,,Rhone_Water_Midstream,,196.0,0,,,30.0,5,,,,36.557945,
1_1_LT05_196030_19920517,0.0,127.18502,691.0,0.0,1992-05-17T09:47:33,4.0,0.0,852.0,140.0,Rhone_Water_Midstream,1950.0,196.0,4,66.0,720.0,30.0,5,950.0,186.3873654516314,440.0,33.081116,
1_1_LT05_196030_19920602,16.0,123.192619,538.0,0.0,1992-06-02T09:47:25,4.0,0.0,721.0,130.0,Rhone_Water_Midstream,1601.0,196.0,1,66.0,588.0,30.0,5,767.0,0.0,297.0,31.162991,
1_1_LT05_196030_19920618,3.0,120.592209,726.0,0.0,1992-06-18T09:47:11,4.0,0.0,915.0,128.0,Rhone_Water_Midstream,1709.0,196.0,1,66.0,769.0,30.0,5,798.0,0.0,334.0,30.816101,
