system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_062012_19850604,1.0,163.448898,,0.022148976658664103,1985-06-04T19:58:40,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.476665,
1_1_LT05_062012_19850722,61.0,161.19165,,0.210232491012622,1985-07-22T19:58:26,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,49.034027,
1_1_LT05_062012_19850807,0.0,161.991684,569.0,0.0,1985-08-07T19:58:18,2.0,,769.0,,Mackenzie_Water_Midstream,1013.0,62.0,0,66.0,796.5,12.0,5,1120.0,,902.0,52.883808,
1_1_LT05_062012_19860607,11.0,161.090134,,0.5353197407436567,1986-06-07T19:52:33,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.426239,
1_1_LT05_062012_19860623,70.0,159.748825,,1.0,1986-06-23T19:52:02,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.907112,
1_1_LT05_062012_19860810,12.0,159.738388,,0.0,1986-08-10T19:50:22,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,53.93681,
1_1_LT05_062012_19860826,62.0,161.394943,,1.0,1986-08-26T19:49:46,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,58.96804,
1_1_LT05_062012_19860911,2.0,163.431641,595.0,0.0,1986-09-11T19:49:13,4.0,0.0,717.0,230.0,Mackenzie_Water_Midstream,778.0,62.0,1,68.0,729.0,12.0,5,926.0,0.0,688.0,64.668388,
1_1_LT05_062012_19880714,16.0,161.437103,,1.0,1988-07-14T19:59:16,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.607624,
1_1_LT05_062012_19880730,12.0,161.821243,,1.0,1988-07-30T19:59:18,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,50.835148,
1_1_LT05_062012_19880815,93.0,163.095596,,1.0,1988-08-15T19:59:17,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,55.267849,
1_1_LT05_062012_19890615,61.0,161.801529,,0.0,1989-06-15T19:56:24,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.785648,
1_1_LT05_062012_19890802,64.0,160.720657,,1.0,1989-08-02T19:55:34,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,51.670242,
1_1_LT05_062012_19890818,0.0,162.052902,547.0,0.0,1989-08-18T19:55:10,4.0,0.0,662.0,212.0,Mackenzie_Water_Midstream,987.0,62.0,13,66.0,686.0,12.0,5,962.0,54.66563235659831,706.0,56.274872,
1_1_LT05_062012_19900704,0.0,158.312851,,0.0,1990-07-04T19:48:42,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.622032,
1_1_LT05_062012_19900720,78.0,158.139389,,1.0,1990-07-20T19:48:37,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,48.915333,
1_1_LT05_062012_19900922,34.0,164.813354,,1.0,1990-09-22T19:48:20,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,68.802963,
1_1_LT05_062012_19910723,83.0,159.28006,,1.0,1991-07-23T19:52:00,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,49.331409,
1_1_LT05_062012_19910925,87.0,166.354172,,1.0,1991-09-25T19:52:30,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,69.733238,
1_1_LT05_062012_19920506,0.0,162.798904,,1.0,1992-05-06T19:52:19,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,52.29969,
1_1_LT05_062012_19920709,0.0,158.993622,,0.0,1992-07-09T19:51:37,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.155098,
1_1_LT05_062012_19920826,47.0,161.858902,,0.11066939568081045,1992-08-26T19:50:57,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,59.098839,
1_1_LT05_062012_19930525,5.0,161.741547,,0.9806575850879646,1993-05-25T19:51:04,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,48.075989,
1_1_LT05_062012_19930610,8.0,160.596863,,0.03147878652188517,1993-06-10T19:51:05,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.163975,
1_1_LT05_062012_19940410,0.0,161.59552,,1.0,1994-04-10T19:48:43,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,61.174637,
1_1_LT05_062012_19940613,0.0,159.104935,,0.0,1994-06-13T19:47:31,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.165279,
1_1_LT05_062012_19940629,88.0,157.919174,,1.0,1994-06-29T19:47:08,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.314213,
1_1_LT05_062012_19940715,35.0,157.365646,,0.13472867301687286,1994-07-15T19:46:42,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,48.136219,
1_1_LT05_062012_19940731,23.0,157.785233,,0.3079931905849016,1994-07-31T19:46:15,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,51.419292,
1_1_LT05_062012_19940816,96.0,159.085678,,1.0,1994-08-16T19:45:51,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,55.870216,
1_1_LT05_062012_19941003,23.0,165.153824,,0.03502617491931045,1994-10-03T19:44:34,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,73.087875,
1_1_LT05_062012_19950328,0.0,158.287415,,1.0,1995-03-28T19:38:14,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,66.652878,
1_1_LT05_062012_19950413,0.0,158.415268,,1.0,1995-04-13T19:37:34,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,60.523476,
1_1_LT05_062012_19950429,12.0,158.232956,,0.9480158886352303,1995-04-29T19:36:52,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,55.079868,
1_1_LT05_062012_19950531,79.0,156.273041,,1.0,1995-05-31T19:35:24,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.800186,
1_1_LT05_062012_19950616,37.0,154.792923,,1.0,1995-06-16T19:34:41,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.545029,
1_1_LT05_062012_19950702,0.0,153.597443,520.0,0.0,1995-07-02T19:33:58,4.0,0.0,581.0,187.0,Mackenzie_Water_Midstream,871.0,62.0,7,66.0,667.0,12.0,5,1069.0,73.10015494553461,687.0,47.034336,
1_1_LT05_062012_19950920,19.0,159.457458,,1.0,1995-09-20T19:30:13,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,68.527145,
1_1_LT05_062012_19990510,1.0,167.25177,,0.999425988611614,1999-05-10T20:07:08,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,51.048218,
1_1_LT05_062012_19990526,64.0,166.593414,,1.0,1999-05-26T20:06:44,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.588135,
1_1_LT05_062012_19990611,1.0,165.451294,,0.013453056745520935,1999-06-11T20:06:32,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.719223,
1_1_LT05_062012_19990729,56.0,163.767532,,0.0,1999-07-29T20:06:15,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,50.278828,
1_1_LT05_062012_19990830,53.0,166.513214,,1.0,1999-08-30T20:05:48,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,59.873569,
1_1_LT05_062012_19991001,23.0,170.344757,,0.0691093311291297,1999-10-01T20:05:07,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,71.833664,
1_1_LT05_062012_20030910,58.0,168.139343,,1.0,2003-09-10T20:06:00,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,63.822319,
1_1_LT05_062012_20050510,74.0,170.051895,,1.0,2005-05-10T20:15:49,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,50.726074,
1_1_LT05_062012_20050526,31.0,169.551468,,1.0,2005-05-26T20:15:57,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.305954,
1_1_LT05_062012_20050611,3.0,168.521393,,0.2625198542464733,2005-06-11T20:16:04,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.469681,
1_1_LT05_062012_20050627,8.0,167.436218,,0.2259066364953369,2005-06-27T20:16:09,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.376148,
1_1_LT05_062012_20050814,21.0,168.07103,,0.0,2005-08-14T20:16:36,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,54.540398,
1_1_LT05_062012_20060614,22.0,170.015396,,0.6392510280864467,2006-06-14T20:21:07,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.23027,
1_1_LT05_062012_20060630,11.0,169.016495,,0.5623348405660931,2006-06-30T20:21:24,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.435677,
1_1_LT05_062012_20060902,70.0,171.73233,,1.0,2006-09-02T20:22:12,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,60.735115,
1_1_LT05_062012_20060918,0.0,173.633713,,0.02555169541614409,2006-09-18T20:22:23,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,66.716217,
1_1_LT05_062012_20070601,59.0,171.286438,,0.9279878112781759,2007-06-01T20:22:50,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.39645,
1_1_LT05_062012_20070617,0.0,170.130203,,0.0,2007-06-17T20:22:34,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.143658,
1_1_LT05_062012_20070703,4.0,169.067932,,0.0,2007-07-03T20:22:20,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.64521,
1_1_LT05_062012_20070719,61.0,168.592072,,1.0,2007-07-19T20:22:12,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.818806,
1_1_LT05_062012_20070804,16.0,168.983047,,0.0,2007-08-04T20:22:02,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,51.434883,
1_1_LT05_062012_20070905,5.0,171.841034,680.0,0.0,2007-09-05T20:21:42,4.0,1.2570787221094182,885.0,225.0,Mackenzie_Water_Midstream,1020.0,62.0,9,68.0,873.0,12.0,5,1185.0,120.93983811980421,871.0,61.75449,
1_1_LT05_062012_20080416,7.0,170.083054,,1.0,2008-04-16T20:17:49,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,58.091774,
1_1_LT05_062012_20080518,11.0,170.009308,,0.9507022619328768,2008-05-18T20:16:59,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,48.789398,
1_1_LT05_062012_20080603,3.0,169.032532,,0.04185199034348847,2008-06-03T20:16:34,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.168247,
1_1_LT05_062012_20080619,55.0,167.746002,,1.0,2008-06-19T20:16:08,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.24028,
1_1_LT05_062012_20080705,3.0,166.670059,,0.0,2008-07-05T20:15:41,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.065258,
1_1_LT05_062012_20090505,14.0,170.231888,,1.0,2009-05-05T20:16:08,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,52.045799,
1_1_LT05_062012_20090521,2.0,170.003952,,0.9846929526876915,2009-05-21T20:16:27,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,48.187344,
1_1_LT05_062012_20090606,1.0,169.16423,,0.6960320144290385,2009-06-06T20:16:43,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.83083,
1_1_LT05_062012_20090622,11.0,168.105316,,0.7625199560683432,2009-06-22T20:17:01,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.191284,
1_1_LT05_062012_20090708,7.0,167.335526,,0.4700259797546035,2009-07-08T20:17:18,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,46.286793,
1_1_LT05_062012_20090825,51.0,169.676117,,1.0,2009-08-25T20:18:02,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,58.073711,
1_1_LT05_062012_20090910,81.0,171.606537,,0.11477031922167169,2009-09-10T20:18:16,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,63.833595,
1_1_LT05_062012_20100524,5.0,170.653488,,0.6974599176047658,2010-05-24T20:19:19,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.641266,
1_1_LT05_062012_20100609,0.0,169.664993,,0.002694573460337457,2010-06-09T20:19:14,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.578362,
1_1_LT05_062012_20100727,22.0,167.718002,,0.1105775538586687,2010-07-27T20:19:00,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,49.588356,
1_1_LT05_062012_20100812,45.0,168.568619,,0.9782531685428638,2010-08-12T20:18:53,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,53.826141,
1_1_LT05_062012_20100828,38.0,170.105118,,0.0,2010-08-28T20:18:51,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,59.034431,
1_1_LT05_062012_20110324,0.0,169.185638,,1.0,2011-03-24T20:18:23,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,67.100487,
1_1_LT05_062012_20110409,0.0,169.991974,,1.0,2011-04-09T20:18:21,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,60.883415,
1_1_LT05_062012_20110527,3.0,170.108231,,1.0,2011-05-27T20:18:04,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.192471,
1_1_LT05_062012_20110628,13.0,167.863846,,0.11359685376157878,2011-06-28T20:17:48,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,45.385239,
1_1_LT05_062012_20110714,22.0,167.188141,,1.0,2011-07-14T20:17:42,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,47.066662,
1_1_LT05_062012_20110730,83.0,167.340683,,0.0,2011-07-30T20:17:33,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,50.265202,
1_1_LT05_062012_20110831,9.0,169.95372,,3.6572725602876014E-4,2011-08-31T20:17:15,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,60.036751,
1_1_LT05_062012_20111002,35.0,173.53717,,0.5177549922590465,2011-10-02T20:16:43,,,,,Mackenzie_Water_Midstream,,62.0,0,,,12.0,5,,,,72.095016,
1_1_LT05_063011_19890708,15.0,162.744568,,0.0,1989-07-08T20:01:51,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,47.943085,
1_1_LT05_063011_19910628,1.0,162.01561,,0.0,1991-06-28T19:57:26,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,47.113407,
1_1_LT05_063011_19910714,15.0,161.517517,,0.0,1991-07-14T19:57:37,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,48.781067,
1_1_LT05_063011_19930703,44.0,161.522186,,1.0,1993-07-03T19:56:44,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,47.519413,
1_1_LT05_063011_19960524,1.0,161.106903,,0.6993307645508011,1996-05-24T19:45:58,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,49.510201,
1_1_LT05_063011_19960812,29.0,160.982864,,1.0,1996-08-12T19:50:15,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,55.786743,
1_1_LT05_063011_19970409,49.0,165.841476,,1.0,1997-04-09T20:01:28,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,62.300385,
1_1_LT05_063011_19970511,1.0,166.604034,,1.0,1997-05-11T20:02:34,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,51.979286,
1_1_LT05_063011_19970527,57.0,166.138489,,1.0,1997-05-27T20:03:09,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,48.639397,
1_1_LT05_063011_19970612,1.0,165.235703,,0.0,1997-06-12T20:03:41,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,46.913509,
1_1_LT05_063011_19970714,66.0,163.926605,,0.852516582130316,1997-07-14T20:04:48,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,48.633537,
1_1_LT05_063011_19970815,77.0,165.62381,,0.0807282798701446,1997-08-15T20:05:51,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,56.273415,
1_1_LT05_063011_19970831,82.0,167.489532,,0.0,1997-08-31T20:06:20,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,61.60096,
1_1_LT05_063011_19980327,0.0,167.768112,,1.0,1998-03-27T20:11:06,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,67.253143,
1_1_LT05_063011_19980412,0.0,168.594498,,1.0,1998-04-12T20:11:18,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,61.102859,
1_1_LT05_063011_19980717,27.0,166.14621,,0.0,1998-07-17T20:12:37,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,48.949791,
1_1_LT05_063011_19980802,66.0,166.544296,,0.0,1998-08-02T20:12:41,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,52.403343,
1_1_LT05_063011_19980919,94.0,171.474716,,1.0,1998-09-19T20:13:08,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,68.494873,
1_1_LT05_063011_19990330,100.0,168.30162,,1.0,1999-03-30T20:13:03,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,66.157394,
1_1_LT05_063011_19990602,55.0,168.402054,,1.0,1999-06-02T20:12:26,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,47.734711,
1_1_LT05_063011_19990704,52.0,166.206497,,1.0,1999-07-04T20:12:08,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,47.218712,
1_1_LT05_063011_19990821,74.0,167.530701,,0.0,1999-08-21T20:11:49,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,57.983807,
1_1_LT05_063011_19990922,54.0,171.108658,,0.0,1999-09-22T20:10:52,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,69.595558,
1_1_LT05_063011_20030731,52.0,165.96759,,0.0,2003-07-31T20:11:03,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,51.88047,
1_1_LT05_063011_20030816,84.0,167.144348,,0.3947148311422504,2003-08-16T20:11:20,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,56.357861,
1_1_LT05_063011_20110603,21.0,171.87767,,0.0,2011-06-03T20:23:47,,,,,Mackenzie_Water_Midstream,,63.0,0,,,11.0,5,,,,47.426674,
1_1_LT05_063012_19850627,26.0,161.760345,,0.0,1985-06-27T20:04:47,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,45.815952,
1_1_LT05_063012_19860529,0.0,161.830994,,1.0,1986-05-29T19:59:00,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,47.483028,
1_1_LT05_063012_19860614,1.0,160.4776,,0.011534348841481036,1986-06-14T19:58:30,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,45.983414,
1_1_LT05_063012_19860716,69.0,158.733704,,1.0,1986-07-16T19:57:27,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,48.149006,
1_1_LT05_063012_19860817,23.0,160.393234,,0.002036920412500987,1986-08-17T19:56:17,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,56.036541,
1_1_LT05_063012_19860902,49.0,162.262024,,1.0,1986-09-02T19:55:41,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,61.396393,
1_1_LT05_063012_19880705,23.0,161.609222,,0.0,1988-07-05T20:05:24,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,46.422989,
1_1_LT05_063012_19880806,13.0,162.284515,,0.5389835734340972,1988-08-06T20:05:28,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,52.643608,
1_1_LT05_063012_19890622,3.0,161.269897,,0.05353066204833511,1989-06-22T20:02:29,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,45.74176,
1_1_LT05_063012_19890708,72.0,160.388535,,0.0,1989-07-08T20:02:15,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,46.864819,
1_1_LT05_063012_19890724,26.0,160.323822,622.0,0.0,1989-07-24T20:01:56,4.0,0.0,857.0,,Mackenzie_Water_Midstream,1030.0,63.0,1,66.0,857.0,12.0,5,918.0,0.0,646.0,49.554779,
1_1_LT05_063012_19890809,39.0,161.198502,,0.26698089690099486,1989-08-09T20:01:35,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,53.559238,
1_1_LT05_063012_19900625,26.0,158.757416,,0.0,1990-06-25T19:54:54,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,46.029907,
1_1_LT05_063012_19900812,47.0,159.533005,,0.4253473588916009,1990-08-12T19:54:43,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,54.549236,
1_1_LT05_063012_19900913,69.0,163.591568,,1.0,1990-09-13T19:54:35,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,65.415634,
1_1_LT05_063012_19910324,9.0,161.628891,,1.0,1991-03-24T19:56:20,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,67.811104,
1_1_LT05_063012_19910409,13.0,162.200989,,1.0,1991-04-09T19:56:34,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,61.554611,
1_1_LT05_063012_19910425,0.0,162.552383,,1.0,1991-04-25T19:56:47,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,55.872444,
1_1_LT05_063012_19910527,26.0,161.738174,,0.7788875331286574,1991-05-27T19:57:23,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,47.8139,
1_1_LT05_063012_19910628,0.0,159.587967,,0.0,1991-06-28T19:57:50,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,46.042488,
1_1_LT05_063012_19910714,39.0,159.135696,,0.0,1991-07-14T19:58:01,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,47.718304,
1_1_LT05_063012_19910730,55.0,159.601761,,0.0,1991-07-30T19:58:13,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,50.883064,
1_1_LT05_063012_19910916,61.0,165.149292,,1.0,1991-09-16T19:58:40,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,66.33596,
1_1_LT05_063012_19920326,23.0,162.237915,,1.0,1992-03-26T19:58:48,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,66.673584,
1_1_LT05_063012_19920529,65.0,161.688141,,1.0,1992-05-29T19:58:18,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,47.397594,
1_1_LT05_063012_19920630,0.0,159.352798,,0.0012316644362224162,1992-06-30T19:57:56,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,46.249187,
1_1_LT05_063012_19920801,12.0,159.423096,,0.0,1992-08-01T19:57:31,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,51.610703,
1_1_LT05_063012_19930329,0.0,161.927719,,1.0,1993-03-29T19:56:57,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,65.610573,
1_1_LT05_063012_19930516,12.0,162.219467,,0.9769165420241938,1993-05-16T19:57:13,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,49.862133,
1_1_LT05_063012_19930719,62.0,158.900986,,0.9292949172111582,1993-07-19T19:57:09,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,48.681427,
1_1_LT05_063012_19930820,35.0,161.2052,,1.0,1993-08-20T19:57:08,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,57.013313,
1_1_LT05_063012_19930905,84.0,163.279938,,1.0,1993-09-05T19:57:06,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,62.503716,
1_1_LT05_063012_19930921,89.0,165.449829,,1.0,1993-09-21T19:57:02,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,68.449951,
1_1_LT05_063012_19940316,100.0,160.992538,,1.0,1994-03-16T19:55:21,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,70.981842,
1_1_LT05_063012_19940401,0.0,161.376297,,1.0,1994-04-01T19:55:05,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,64.612587,
1_1_LT05_063012_19940417,5.0,161.691986,,1.0,1994-04-17T19:54:46,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,58.617584,
1_1_LT05_063012_19940503,66.0,161.648407,,1.0,1994-05-03T19:54:28,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,53.416603,
1_1_LT05_063012_19940519,18.0,161.004745,,0.9239664514943977,1994-05-19T19:54:10,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,49.381237,
1_1_LT05_063012_19940706,72.0,157.585938,,1.0,1994-07-06T19:53:08,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,46.916649,
1_1_LT05_063012_19940722,21.0,157.428589,,0.0,1994-07-22T19:52:41,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,49.409584,
1_1_LT05_063012_19940807,4.0,158.246002,567.0,0.0,1994-08-07T19:52:15,4.0,0.0,803.0,204.0,Mackenzie_Water_Midstream,1019.0,63.0,6,66.0,799.0,12.0,5,966.0,89.88464829991827,760.0,53.237881,
1_1_LT05_063012_19950319,4.0,158.1875,,1.0,1995-03-19T19:44:47,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,70.237473,
1_1_LT05_063012_19950404,0.0,158.362396,,1.0,1995-04-04T19:44:08,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,63.913837,
1_1_LT05_063012_19950506,14.0,157.998093,,0.8468783620667033,1995-05-06T19:42:43,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,53.022453,
1_1_LT05_063012_19950522,70.0,157.041565,,1.0,1995-05-22T19:42:00,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,49.253582,
1_1_LT05_063012_19950607,18.0,155.631119,,0.0028208559657823653,1995-06-07T19:41:15,,,,,Mackenzie_Water_Midstream,,63.0,0,,,12.0,5,,,,47.037415,
