system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_126046_19860710,34.0,80.051384,,1.0,1986-07-10T02:40:34,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.190449,
1_1_LT05_126046_19861030,27.0,136.396942,,0.0,1986-10-30T02:36:42,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,45.015968,
1_1_LT05_126046_19861201,23.0,141.952805,,1.0,1986-12-01T02:36:00,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,52.092659,
1_1_LT05_126046_19861217,27.0,141.761658,,0.1953571606104291,1986-12-17T02:36:28,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,54.268749,
1_1_LT05_126046_19870118,27.0,136.768433,,1.0,1987-01-18T02:37:25,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,54.261841,
1_1_LT05_126046_19870307,6.0,121.959404,550.0,0.0,1987-03-07T02:39:11,4.0,0.0,856.0,,Hong_Land_Downstream,1280.0,126.0,20,66.0,972.0,46.0,5,1001.0,60.377541354380796,706.0,43.997471,
1_1_LT05_126046_19870408,90.0,107.287468,,1.0,1987-04-08T02:40:20,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,35.287807,
1_1_LT05_126046_19870510,69.0,89.776039,1036.0,0.31869811602127573,1987-05-10T02:41:18,4.0,1.8354119698021067,1249.0,129.0,Hong_Land_Downstream,1464.0,126.0,73,66.0,1318.0,46.0,5,1064.0,95.57527669188666,704.0,30.459843,
1_1_LT05_126046_19870526,95.0,82.765244,,1.0,1987-05-26T02:41:43,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.010414,
1_1_LT05_126046_19870627,71.0,78.051521,,1.0,1987-06-27T02:42:27,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.075993,
1_1_LT05_126046_19871001,19.0,125.281937,,0.0,1987-10-01T02:44:49,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,37.10788,
1_1_LT05_126046_19871204,73.0,144.46376,,1.0,1987-12-04T02:46:01,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,51.08551,
1_1_LT05_126046_19871220,5.0,143.77124,,0.0,1987-12-20T02:46:15,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,53.071758,
1_1_LT05_126046_19880528,56.0,82.008698,1222.0,0.9165382512303026,1988-05-28T02:48:05,4.0,,1448.0,,Hong_Land_Downstream,1610.0,126.0,0,130.0,1518.0,46.0,5,1182.0,,843.0,28.583866,
1_1_LT05_126046_19880613,7.0,78.366707,,0.8150817716359301,1988-06-13T02:48:11,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,29.155739,
1_1_LT05_126046_19880715,52.0,81.719185,,1.0,1988-07-15T02:48:20,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.554489,
1_1_LT05_126046_19880816,63.0,96.796898,,1.0,1988-08-16T02:48:21,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.52227,
1_1_LT05_126046_19880901,29.0,107.142433,,0.0,1988-09-01T02:48:25,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.478943,
1_1_LT05_126046_19881019,18.0,135.661621,,0.0,1988-10-19T02:48:11,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,40.587151,
1_1_LT05_126046_19881104,0.0,141.134293,,0.0,1988-11-04T02:48:15,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,44.531921,
1_1_LT05_126046_19881120,1.0,144.126801,,0.0,1988-11-20T02:48:13,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,48.293095,
1_1_LT05_126046_19881206,28.0,144.900894,,1.0,1988-12-06T02:48:07,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,51.301594,
1_1_LT05_126046_19881222,49.0,143.800369,,0.0,1988-12-22T02:47:56,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,53.093552,
1_1_LT05_126046_19890312,73.0,121.421753,,0.5450489635631558,1989-03-12T02:47:04,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,40.882412,
1_1_LT05_126046_19890328,85.0,114.008102,,1.0,1989-03-28T02:46:36,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,36.438503,
1_1_LT05_126046_19890429,86.0,96.075096,,1.0,1989-04-29T02:46:25,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.19046,
1_1_LT05_126046_19890616,1.0,78.105934,,0.0,1989-06-16T02:45:28,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,29.915279,
1_1_LT05_126046_19890702,100.0,78.680832,,1.0,1989-07-02T02:45:17,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.760952,
1_1_LT05_126046_19890803,46.0,89.091545,,1.0,1989-08-03T02:44:37,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.991978,
1_1_LT05_126046_19890819,18.0,97.898407,677.0000000000001,0.0,1989-08-19T02:44:13,4.0,0.0,1044.0000000000002,137.0,Hong_Land_Downstream,1622.0000000000002,126.0,90,66.0,1342.0,46.0,5,987.9999999999999,139.37256447520446,607.0,32.628922,
1_1_LT05_126046_19890904,5.0,108.084625,630.0,0.0,1989-09-04T02:43:55,4.0,0.0,973.0,142.0,Hong_Land_Downstream,1370.0,126.0,44,66.0,1131.0,46.0,5,971.0,56.609617207066584,615.0,33.752319,
1_1_LT05_126046_19890920,9.0,118.471596,,0.3274842173286277,1989-09-20T02:43:23,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,35.697506,
1_1_LT05_126046_19891006,63.0,127.824989,,1.0,1989-10-06T02:43:13,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,38.585934,
1_1_LT05_126046_19891107,30.0,140.198486,,1.0,1989-11-07T02:42:13,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,46.119934,
1_1_LT05_126046_19891209,31.0,143.220749,,0.7770418054381868,1989-12-09T02:41:15,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,52.66082,
1_1_LT05_126046_19900416,37.0,102.346741,,1.0,1990-04-16T02:37:52,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,34.172394,
1_1_LT05_126046_19900518,59.0,85.653931,846.9999999999998,0.0,1990-05-18T02:37:53,4.0,0.32990670078882767,1111.9999999999998,131.0,Hong_Land_Downstream,1518.0000000000002,126.0,146,66.0,1278.0000000000002,46.0,5,1020.0,122.66267686215564,704.9999999999999,30.968491,
1_1_LT05_126046_19900603,92.0,80.1726,,1.0,1990-06-03T02:37:48,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.123386,
1_1_LT05_126046_19900705,17.0,79.005165,558.0,0.0,1990-07-05T02:37:46,4.0,0.0,898.0,137.0,Hong_Land_Downstream,1338.0,126.0,5,66.0,1100.0,46.0,5,1002.0,50.705423773005165,657.0,32.599678,
1_1_LT05_126046_19900806,10.0,89.865417,709.0,0.16863846497986784,1990-08-06T02:37:38,4.0,0.0,1072.0,141.0,Hong_Land_Downstream,1754.0,126.0,154,66.0,1432.0,46.0,5,1037.9999999999998,127.5092455118855,625.9999999999999,33.691772,
1_1_LT05_126046_19900822,12.0,98.648003,883.9999999999999,0.0,1990-08-22T02:37:33,4.0,0.0,1226.9999999999998,144.0,Hong_Land_Downstream,1750.9999999999998,126.0,244,66.0,1403.0,46.0,5,1091.0000000000002,144.02536121393015,663.0,34.301418,
1_1_LT05_126046_19900907,2.0,108.648689,613.9999999999998,0.0,1990-09-07T02:37:26,4.0,0.0,985.9999999999997,148.0,Hong_Land_Downstream,1639.9999999999995,126.0,259,66.0,1315.9999999999998,46.0,5,963.0000000000001,163.9143842797265,589.9999999999999,35.416714,
1_1_LT05_126046_19901009,20.0,127.739807,,0.8274345081274546,1990-10-09T02:37:13,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,40.216713,
1_1_LT05_126046_19901110,59.0,139.500549,,1.0,1990-11-10T02:37:08,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,47.568569,
1_1_LT05_126046_19901212,74.0,142.184326,,1.0,1990-12-12T02:36:58,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,53.606609,
1_1_LT05_126046_19901228,50.0,140.754959,,0.993662076850425,1990-12-28T02:37:19,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,54.889454,
1_1_LT05_126046_19910214,39.0,129.310059,,1.0,1991-02-14T02:38:26,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,49.617062,
1_1_LT05_126046_19910505,53.0,92.249405,743.0,0.0,1991-05-05T02:39:55,4.0,0.0,1031.0,132.0,Hong_Land_Downstream,1469.0,126.0,97,66.0,1210.0000000000002,46.0,5,1088.9999999999998,123.97920570709759,775.0,31.156048,
1_1_LT05_126046_19910606,75.0,79.595039,,1.0,1991-06-06T02:40:25,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.629009,
1_1_LT05_126046_19910708,67.0,79.581009,,0.37208579808122505,1991-07-08T02:40:50,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.021679,
1_1_LT05_126046_19910809,60.0,91.588402,,1.0,1991-08-09T02:41:09,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.956333,
1_1_LT05_126046_19910825,92.0,100.870346,,1.0,1991-08-25T02:41:15,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,33.584148,
1_1_LT05_126046_19910910,44.0,111.235542,823.0,0.0,1991-09-10T02:41:29,4.0,0.0,1073.0,146.0,Hong_Land_Downstream,1374.0,126.0,115,66.0,1149.0,46.0,5,1024.9999999999998,126.40935872606495,687.9999999999999,34.81509,
1_1_LT05_126046_19910926,5.0,121.431564,,0.8499527762588855,1991-09-26T02:41:33,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,36.943642,
1_1_LT05_126046_19911012,48.0,130.288437,2316.0,0.0,1991-10-12T02:41:43,4.0,1.8070158058105024,2676.0,164.0,Hong_Land_Downstream,2792.0,126.0,7,130.0,2773.0,46.0,5,2677.0,388.0086260349777,2145.0,39.988262,
1_1_LT05_126046_19911028,0.0,137.009659,,0.0,1991-10-28T02:41:46,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,43.65979,
1_1_LT05_126046_19911215,22.0,143.113251,,0.0,1991-12-15T02:42:03,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,53.271442,
1_1_LT05_126046_19920421,12.0,99.814148,,0.7214296366257394,1992-04-21T02:41:32,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.419987,
1_1_LT05_126046_19920608,45.0,79.062439,3764.5175135135128,0.017522493413530852,1992-06-08T02:41:06,4.0,0.0,4179.434782608696,130.0,Hong_Land_Downstream,4347.0,126.0,311,66.0,4208.234375,46.0,5,3635.396081175648,658.7947740189401,2766.0,30.609871,
1_1_LT05_126046_19920624,34.0,77.964386,,1.0,1992-06-24T02:40:53,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.41124,
1_1_LT05_126046_19920710,5.0,80.180161,,1.0,1992-07-10T02:40:41,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.177258,
1_1_LT05_126046_19920726,36.0,85.345528,,0.05848287518019587,1992-07-26T02:40:29,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.750393,
1_1_LT05_126046_19920811,44.0,92.970016,1032.0,0.0,1992-08-11T02:40:16,4.0,0.0,1204.0,140.0,Hong_Land_Downstream,1485.0,126.0,1,66.0,1324.0,46.0,5,971.0,0.0,539.0,33.270428,
1_1_LT05_126046_19920912,25.0,112.662682,698.0,0.0,1992-09-12T02:39:47,4.0,0.0,1036.9999999999998,148.0,Hong_Land_Downstream,1580.0,126.0,154,66.0,1190.0,46.0,5,904.0000000000001,176.1018723785186,507.9999999999999,35.488094,
1_1_LT05_126046_19920928,35.0,122.5448,2168.0,0.833399612268231,1992-09-28T02:39:27,4.0,0.0,2425.0,156.0,Hong_Land_Downstream,2694.0,126.0,7,130.0,2420.0,46.0,5,1923.0,63.737984061661926,1485.0,37.825092,
1_1_LT05_126046_19921201,0.0,142.619934,,0.0,1992-12-01T02:38:46,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,51.788132,
1_1_LT05_126046_19930118,80.0,136.983795,,1.0,1993-01-18T02:39:18,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,53.95237,
1_1_LT05_126046_19930203,82.0,132.750198,,1.0,1993-02-03T02:39:28,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,51.643322,
1_1_LT05_126046_19930424,29.0,98.049057,708.0,0.0,1993-04-24T02:40:02,4.0,0.0,985.0,136.0,Hong_Land_Downstream,1263.0,126.0,29,66.0,1063.0,46.0,5,961.0,55.053643713091,631.0,32.315891,
1_1_LT05_126046_19930510,78.0,89.406387,,1.0,1993-05-10T02:40:06,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.725407,
1_1_LT05_126046_19930526,33.0,82.529488,,1.0,1993-05-26T02:40:09,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.40836,
1_1_LT05_126046_19930611,39.0,78.617569,,1.0,1993-06-11T02:40:10,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.897324,
1_1_LT05_126046_19930627,31.0,78.093521,698.9999999999999,0.0,1993-06-27T02:40:04,4.0,1.4282856857085702,939.9999999999999,134.0,Hong_Land_Downstream,1402.0,126.0,80,66.0,1180.0000000000002,46.0,5,1021.7342995169082,223.24226995295948,654.0,31.679218,
1_1_LT05_126046_19930729,7.0,86.464622,,0.0,1993-07-29T02:40:00,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.875088,
1_1_LT05_126046_19931017,51.0,132.402298,,0.0,1993-10-17T02:39:48,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,41.493477,
1_1_LT05_126046_19931102,0.0,138.26236,,0.0,1993-11-02T02:39:43,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,45.26897,
1_1_LT05_126046_19931220,13.0,142.116379,,0.0,1993-12-20T02:39:23,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,54.144444,
1_1_LT05_126046_19940222,93.0,126.530563,,1.0,1994-02-22T02:38:33,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,47.585819,
1_1_LT05_126046_19940529,6.0,81.527992,559.0,0.0,1994-05-29T02:36:54,4.0,0.0,975.0,132.0,Hong_Land_Downstream,1586.0,126.0,67,66.0,1249.0,46.0,5,1011.0,135.4046154709813,610.0,31.225838,
1_1_LT05_126046_19940801,38.0,87.350937,,1.0,1994-08-01T02:35:18,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,34.08876,
1_1_LT05_126046_19940902,15.0,104.955032,,0.6263607893821147,1994-09-02T02:34:31,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,35.661827,
1_1_LT05_126046_19940918,33.0,114.940521,,0.0,1994-09-18T02:34:06,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,37.353458,
1_1_LT05_126046_19941004,29.0,124.227661,791.0,0.0,1994-10-04T02:33:39,4.0,0.0,1080.0,,Hong_Land_Downstream,1519.0,126.0,2,66.0,1212.0,46.0,5,905.0,15.5,545.0,39.933369,
1_1_LT05_126046_19941105,7.0,137.221039,,0.0,1994-11-05T02:32:34,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,47.058201,
1_1_LT05_126046_19941223,8.0,140.032974,,0.0,1994-12-23T02:31:01,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,55.578403,
1_1_LT05_126046_19950108,36.0,137.440598,,0.026470149624695537,1995-01-08T02:30:28,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,56.012844,
1_1_LT05_126046_19950414,62.0,101.797272,,1.0,1995-04-14T02:26:37,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,37.15242,
1_1_LT05_126046_19950601,64.0,80.391571,1118.9999999999995,0.0,1995-06-01T02:24:28,0.0,1.5413061862290065,1325.109139375476,143.0,Hong_Land_Downstream,1666.0,126.0,204,66.0,1398.0000000000002,46.0,5,1118.0,137.78807324512707,736.9999999999999,34.128204,
1_1_LT05_126046_19950617,100.0,77.862251,,1.0,1995-06-17T02:23:44,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,34.918163,
1_1_LT05_126046_19950905,5.0,104.241402,,0.0,1995-09-05T02:20:04,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,39.172821,
1_1_LT05_126046_19950921,67.0,113.534348,,1.0,1995-09-21T02:19:17,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,40.896107,
1_1_LT05_126046_19951124,11.0,137.341644,,0.0,1995-11-24T02:17:22,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,53.494701,
1_1_LT05_126046_19951210,39.0,138.329391,,1.0,1995-12-10T02:18:18,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,56.048283,
1_1_LT05_126046_19960212,40.0,126.89019,897.0,0.0,1996-02-12T02:22:51,4.0,0.0,1004.0,204.0,Hong_Land_Downstream,1449.0,126.0,6,66.0,1080.0,46.0,5,931.0,86.03374660884823,609.0,52.955288,
1_1_LT05_126046_19960331,56.0,108.36158,,1.0,1996-03-31T02:26:00,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,40.15807,
1_1_LT05_126046_19960518,26.0,84.914368,,1.0,1996-05-18T02:28:52,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,33.024174,
1_1_LT05_126046_19960603,30.0,79.86116,,1.0,1996-06-03T02:29:46,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.955273,
1_1_LT05_126046_19960619,21.0,77.827042,753.9999999999999,0.0,1996-06-19T02:30:38,4.0,1.360977301507992,975.0,140.0,Hong_Land_Downstream,1587.9250401050022,126.0,232,66.0,1164.0,46.0,5,1143.0,256.15365216920003,737.0,33.433102,
1_1_LT05_126046_19960705,26.0,78.963463,897.0,0.9447109409951782,1996-07-05T02:31:29,4.0,0.0,1084.0,143.0,Hong_Land_Downstream,1585.0,126.0,16,66.0,1291.0,46.0,5,1090.0,100.7318338150855,774.0,33.990719,
1_1_LT05_126046_19960721,65.0,83.070213,,1.0,1996-07-21T02:32:20,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,34.391407,
1_1_LT05_126046_19960806,2.0,89.756874,783.0,0.0049460655167271475,1996-08-06T02:33:11,4.0,1.105541596785133,1189.0,145.0,Hong_Land_Downstream,2051.0,126.0,12,66.0,1357.0,46.0,5,808.0,138.8875194376931,439.0,34.646828,
1_1_LT05_126046_19960907,8.0,108.555435,,1.0,1996-09-07T02:34:54,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,35.921307,
1_1_LT05_126046_19961009,73.0,127.954712,,1.0,1996-10-09T02:36:37,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,40.342415,
1_1_LT05_126046_19961025,11.0,135.184448,,0.0,1996-10-25T02:37:25,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,43.749599,
1_1_LT05_126046_19961110,5.0,140.033661,,0.0,1996-11-10T02:38:11,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,47.402988,
1_1_LT05_126046_19961126,38.0,142.502396,,0.30727742705174743,1996-11-26T02:38:56,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,50.746887,
1_1_LT05_126046_19961228,89.0,141.406036,,1.0,1996-12-28T02:40:27,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,54.397911,
1_1_LT05_126046_19970113,70.0,138.588577,,0.9979246408510214,1997-01-13T02:41:13,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,54.002296,
1_1_LT05_126046_19970129,64.0,134.744873,,1.0,1997-01-29T02:41:56,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,52.030548,
1_1_LT05_126046_19970302,56.0,124.588715,,1.0,1997-03-02T02:43:18,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,44.407566,
1_1_LT05_126046_19970419,45.0,101.673607,,1.0,1997-04-19T02:45:05,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.848541,
1_1_LT05_126046_19970505,25.0,92.557755,,0.0,1997-05-05T02:45:38,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,29.685555,
1_1_LT05_126046_19970521,35.0,84.645531,,1.0,1997-05-21T02:46:11,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,28.900425,
1_1_LT05_126046_19970606,19.0,79.517418,560.9999999999999,0.0,1997-06-06T02:46:45,4.0,0.0,774.9995231851233,124.0,Hong_Land_Downstream,1341.0,126.0,196,66.0,913.0,46.0,5,1033.9999999999995,117.2313765493133,703.0,29.10001,
1_1_LT05_126046_19970724,86.0,84.872261,,1.0,1997-07-24T02:48:24,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,30.737743,
1_1_LT05_126046_19970809,81.0,92.683838,,1.0,1997-08-09T02:48:55,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,31.072643,
1_1_LT05_126046_19970825,31.0,102.564423,3439.0,0.0,1997-08-25T02:49:25,0.0,1.8563908877651263,4030.0,134.0,Hong_Land_Downstream,4633.0,126.0,86,66.0,4367.0,46.0,5,3906.0,1010.2789388792028,2983.0,31.666634,
1_1_LT05_126046_19971012,13.0,133.181152,,0.0,1997-10-12T02:50:47,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,38.433304,
1_1_LT05_126046_19971113,27.0,144.059326,723.0,0.0,1997-11-13T02:51:37,4.0,0.0,972.0,184.0,Hong_Land_Downstream,1620.0,126.0,81,66.0,1224.0,46.0,5,848.0000000000001,122.96807218301028,492.00000000000006,46.127872,
1_1_LT05_126046_19971129,39.0,145.850082,,1.0,1997-11-29T02:52:00,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,49.492767,
1_1_LT05_126046_19971231,25.0,143.716309,,0.5682755878113039,1997-12-31T02:52:46,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,52.707565,
1_1_LT05_126046_19980116,91.0,140.596939,,1.0,1998-01-16T02:53:07,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,51.977665,
1_1_LT05_126046_19980217,24.0,131.702896,932.0,0.0,1998-02-17T02:53:48,4.0,0.0,1042.0,184.0,Hong_Land_Downstream,1652.0,126.0,1,130.0,1013.0,46.0,5,823.0,0.0,435.0,46.038784,
1_1_LT05_126046_19980321,98.0,119.238503,,1.0,1998-03-21T02:54:19,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,36.818798,
1_1_LT05_126046_19980422,15.0,101.630478,,1.0,1998-04-22T02:54:42,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,29.176159,
1_1_LT05_126046_19980508,33.0,91.94516,,1.0,1998-05-08T02:54:57,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,27.312263,
1_1_LT05_126046_19980609,59.0,79.021103,,1.0,1998-06-09T02:55:27,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,27.25061,
1_1_LT05_126046_19980711,9.0,80.598656,540.9999999999999,0.0,1998-07-11T02:55:50,4.0,0.25197431555126676,934.8744039103483,122.0,Hong_Land_Downstream,1622.0,126.0,251,66.0,1225.0,46.0,5,1114.0,148.5560325641256,703.9999999999999,28.638386,
1_1_LT05_126046_19980727,26.0,86.493225,646.8669153241806,0.0,1998-07-27T02:55:57,4.0,0.0,954.0000000000002,124.0,Hong_Land_Downstream,1681.0,126.0,226,66.0,1172.0,46.0,5,1132.0,169.44438700012603,695.0,29.083256,
1_1_LT05_126046_19980812,80.0,95.101669,,1.0,1998-08-12T02:56:04,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,29.513229,
1_1_LT05_126046_19980828,18.0,105.672974,758.0000000000001,0.0,1998-08-28T02:56:15,4.0,0.0,1052.0,129.0,Hong_Land_Downstream,1809.9999999999998,126.0,303,66.0,1230.9999999999998,46.0,5,986.9999999999999,147.82997043940404,629.9999999999999,30.339584,
1_1_LT05_126046_19980929,2.0,127.518181,,0.0,1998-09-29T02:56:27,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,34.613106,
1_1_LT05_126046_19981015,8.0,136.157486,,0.0,1998-10-15T02:56:27,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,38.148388,
1_1_LT05_126046_19981031,35.0,142.269196,,0.7675846299149973,1998-10-31T02:56:31,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,42.174297,
1_1_LT05_126046_19981116,50.0,145.830444,,1.0,1998-11-16T02:56:39,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,46.124931,
1_1_LT05_126046_19990204,25.0,136.478577,683.0,0.0,1999-02-04T02:56:45,4.0,0.0,949.0,191.0,Hong_Land_Downstream,1622.0,126.0,2,66.0,852.0,46.0,5,468.0,16.0,230.0,48.640991,
1_1_LT05_126046_19990425,75.0,100.163483,893.0,0.0,1999-04-25T02:56:21,4.0,0.0,1150.0,122.0,Hong_Land_Downstream,1738.0,126.0,57,130.0,1158.0,46.0,5,882.9999999999999,63.93795083831053,545.9999999999999,28.466885,
1_1_LT05_126046_19990612,15.0,78.561951,,0.97801610578118,1999-06-12T02:55:36,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,27.338726,
1_1_LT05_126046_19990628,50.0,78.180244,,1.0,1999-06-28T02:55:27,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,28.165005,
1_1_LT05_126046_19990714,84.0,81.3908,,1.0,1999-07-14T02:55:21,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,28.857529,
1_1_LT05_126046_19990730,79.0,87.746506,,1.0,1999-07-30T02:55:20,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,29.362782,
1_1_LT05_126046_19990916,91.0,118.344315,,1.0,1999-09-16T02:54:21,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,32.758369,
1_1_LT05_126046_19991002,22.0,128.483841,,0.0,1999-10-02T02:54:11,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,35.596298,
1_1_LT05_126046_19991018,7.0,136.602127,,0.0,1999-10-18T02:54:12,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,39.279179,
1_1_LT05_126046_19991119,41.0,145.275681,,0.0,1999-11-19T02:53:11,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,47.211353,
1_1_LT05_126046_19991221,30.0,145.090225,854.0,0.0,1999-12-21T02:52:44,4.0,0.0,959.0,202.0,Hong_Land_Downstream,1696.0,126.0,33,66.0,918.0,46.0,5,722.0,70.70582105677828,346.0,52.332016,
1_1_LT05_126046_20000529,83.0,81.779053,,1.0,2000-05-29T02:53:36,,,,,Hong_Land_Downstream,,126.0,0,,,46.0,5,,,,27.343441,
